RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
39,Levine Toilolo (FA) ,21,24,263,12.5,39,3,1,0,0,0,0,16,32.3,2.0,0.0%,2018
40,Matt LaCosse (FA) ,24,37,250,10.4,44,3,1,0,0,0,0,15,31.0,2.1,0.0%,2018
41,Ryan Griffin (FA) ,24,43,305,12.7,47,6,0,0,0,0,0,14,30.5,2.2,0.0%,2018
42,Geoff Swaim (FA) ,26,32,242,9.3,43,6,1,0,0,0,0,9,30.2,3.4,0.0%,2018
43,Darren Fells (FA) ,11,12,117,10.6,49,3,3,0,0,0,0,16,29.7,1.9,0.0%,2018
44,Anthony Firkser (NE) ,19,20,225,11.8,28,3,1,0,0,0,0,12,28.5,2.4,0.0%,2018
45,Luke Stocker (FA) ,15,21,165,11.0,31,3,2,1,0,0,0,16,28.5,1.8,0.0%,2018
46,Michael Roberts (FA) ,9,20,100,11.1,29,1,3,0,0,0,0,8,28.0,3.5,0.0%,2018
47,Jason Croom (FA) ,22,35,259,11.8,26,5,1,0,0,0,2,15,27.9,1.9,0.0%,2018
48,Will Dissly (SEA) ,8,14,156,19.5,66,7,2,0,0,0,0,4,27.6,6.9,1.3%,2018
49,Virgil Green (FA) ,19,27,210,11.1,26,5,1,0,0,0,0,16,27.0,1.7,0.0%,2018
50,Erik Swoope (FA) ,8,10,87,10.9,26,1,3,0,0,0,0,7,26.7,3.8,0.0%,2018
51,Lee Smith (FA) ,10,11,73,7.3,30,2,3,0,0,0,0,16,25.3,1.6,0.0%,2018
52,Mo Alie-Cox (IND) ,7,14,133,19.0,34,5,2,0,0,0,0,9,25.3,2.8,0.7%,2018
53,Josh Hill (FA) ,16,24,185,11.6,23,4,1,0,0,0,0,16,24.5,1.5,0.0%,2018
54,Tyler Eifert (FA) ,15,19,179,11.9,29,2,1,0,0,0,0,4,23.9,6.0,0.0%,2018
55,Lance Kendricks (FA) ,19,25,170,8.9,22,2,1,0,0,0,0,16,23.0,1.4,0.0%,2018
56,Jordan Akins (CLE) ,17,25,225,13.2,28,3,0,0,0,0,0,16,22.5,1.4,0.6%,2018
57,Hayden Hurst (CAR) ,13,23,163,12.5,32,4,1,1,0,0,0,12,22.3,1.9,10.7%,2018
58,James O'Shaughnessy (FA) ,24,38,214,8.9,17,0,0,0,0,0,0,14,21.4,1.5,0.0%,2018
59,Nick Boyle (FA) ,23,37,213,9.3,25,1,0,0,0,0,0,16,21.3,1.3,0.0%,2018
60,Maxx Williams (FA) ,16,17,143,8.9,25,3,1,3,8,0,0,13,21.1,1.6,0.0%,2018
61,Garrett Celek (FA) ,5,8,90,18.0,41,4,2,0,0,0,0,15,21.0,1.4,0.0%,2018
62,Dan Arnold (PHI) ,12,19,150,12.5,25,4,1,0,0,0,0,10,21.0,2.1,0.1%,2018
63,Mike Gesicki (NE) ,22,32,202,9.2,27,1,0,0,0,0,1,16,18.2,1.1,39.1%,2018
64,Jordan Leggett (FA) ,14,25,114,8.1,16,0,1,0,0,0,0,15,17.4,1.2,0.0%,2018
65,Charles Clay (FA) ,21,36,184,8.8,21,2,0,0,0,0,1,13,16.4,1.3,0.0%,2018
66,MyCole Pruitt (FA) ,9,11,102,11.3,27,1,1,0,0,0,0,15,16.2,1.1,0.0%,2018
67,Logan Paulsen (FA) ,9,9,91,10.1,19,0,1,0,0,0,0,15,15.1,1.0,0.0%,2018
68,Austin Seferian-Jenkins (FA) ,11,19,90,8.2,21,1,1,0,0,0,0,5,15.0,3.0,0.0%,2018
69,Scott Simonson (FA) ,9,14,86,9.6,24,1,1,0,0,0,0,16,14.6,0.9,0.0%,2018
70,Nick O'Leary (FA) ,8,10,86,10.8,19,0,1,0,0,0,0,12,14.6,1.2,0.0%,2018
71,Robert Tonyan (CHI) ,4,6,77,19.3,54,4,1,0,0,0,0,16,13.7,0.9,1.8%,2018
72,Seth DeValve (FA) ,5,7,74,14.8,26,2,1,0,0,0,0,13,13.4,1.0,0.0%,2018
73,Adam Shaheen (FA) ,5,6,48,9.6,23,1,1,0,0,0,0,6,12.8,2.1,0.0%,2018
74,Derek Carrier (FA) ,7,12,67,9.6,23,1,1,0,0,0,0,16,12.7,0.8,0.0%,2018
75,Dalton Schultz (HOU) ,12,17,116,9.7,17,0,0,0,0,0,0,11,11.6,1.1,88.7%,2018
76,Chris Manhertz (DEN) ,2,5,52,26.0,50,4,1,0,0,0,0,16,11.2,0.7,0.1%,2018
77,A.J. Derby (FA) ,3,5,48,16.0,19,0,1,0,0,0,0,4,10.8,2.7,0.0%,2018
78,Jeremy Sprinkle (FA) ,5,9,41,8.2,15,0,1,0,0,0,0,16,10.1,0.6,0.0%,2018
79,Darren Waller (NYG) ,6,6,75,12.5,44,3,0,1,21,0,0,4,9.6,2.4,97.8%,2018
80,Niles Paul (FA) ,10,13,98,9.8,22,1,0,1,-3,0,0,6,9.5,1.6,0.0%,2018
81,Luke Willson (FA) ,13,19,87,6.7,13,0,0,0,0,0,0,14,8.7,0.6,0.0%,2018
82,Jake Butt (FA) ,8,13,85,10.6,22,2,0,0,0,0,0,3,8.5,2.8,0.1%,2018
83,Logan Thomas (WAS) ,12,17,77,6.4,24,1,0,0,0,0,0,12,8.3,0.7,3.0%,2018
84,Matt Lengel (FA) ,3,8,17,5.7,9,0,1,0,0,0,0,11,7.7,0.7,0.0%,2018
85,Tyler Conklin (NYJ) ,5,7,77,15.4,33,3,0,0,0,0,0,16,7.7,0.5,10.3%,2018
86,Jermaine Gresham (FA) ,9,12,94,10.4,26,1,0,0,0,0,1,13,7.4,0.6,0.0%,2018
87,Eric Tomlinson (FA) ,8,14,72,9.0,24,1,0,0,0,0,0,15,7.2,0.5,0.0%,2018
88,Joshua Perkins (FA) ,5,11,67,13.4,30,2,0,0,0,0,0,9,6.7,0.7,0.0%,2018
89,Blake Bell (KC) ,8,11,67,8.4,16,0,0,0,0,0,0,10,6.7,0.7,0.1%,2018
90,Xavier Grimble (FA) ,6,8,86,14.3,23,2,0,0,0,0,1,16,6.6,0.4,0.0%,2018
91,David Grinnage (FA) ,6,8,61,10.2,24,1,0,0,0,0,0,4,6.1,1.5,0.0%,2018
92,Jacob Hollister (FA) ,4,5,52,13.0,23,1,0,0,0,0,0,8,5.2,0.7,0.0%,2018
93,Delanie Walker (FA) ,4,7,52,13.0,16,0,0,0,0,0,0,1,5.2,5.2,0.1%,2018
94,Durham Smythe (MIA) ,6,11,50,8.3,21,1,0,0,0,0,0,15,5.0,0.3,0.3%,2018
95,Antony Auclair (FA) ,7,8,48,6.9,12,0,0,0,0,0,0,16,4.8,0.3,0.0%,2018
96,Eric Saubert (MIA) ,5,9,48,9.6,17,0,0,0,0,0,0,16,4.8,0.3,0.2%,2018
97,Neal Sterling (FA) ,6,8,47,7.8,12,0,0,0,0,0,0,5,4.7,0.9,0.0%,2018
98,Rico Gathers (FA) ,3,7,45,15.0,32,2,0,0,0,0,0,15,4.5,0.3,0.0%,2018
99,Ben Braunecker (FA) ,3,5,42,14.0,20,1,0,0,0,0,0,15,4.2,0.3,0.0%,2018
100,Marcedes Lewis (FA) ,3,4,39,13.0,30,2,0,0,0,0,0,16,3.9,0.2,0.0%,2018
101,John Phillips (FA) ,3,3,38,12.7,24,1,0,0,0,0,0,8,3.8,0.5,0.0%,2018
102,Jordan Franks (FA) ,2,3,37,18.5,32,2,0,0,0,0,0,6,3.7,0.6,0.0%,2018
103,David Morgan II (FA) ,5,6,36,7.2,13,0,0,0,0,0,0,11,3.6,0.3,0.0%,2018
104,Tyler Kroft (MIA) ,4,6,36,9.0,16,0,0,0,0,0,0,5,3.6,0.7,0.0%,2018
105,Brian Parker (FA) ,5,10,33,6.6,11,0,0,0,0,0,0,13,3.3,0.3,0.0%,2018
106,Dwayne Allen (FA) ,3,4,27,9.0,21,1,0,0,0,0,0,13,2.7,0.2,0.0%,2018
107,Sean Culkin (FA) ,1,1,24,24.0,24,1,0,0,0,0,0,13,2.4,0.2,0.0%,2018
108,Tyrone Swoopes (FA) ,1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,0.0%,2018
109,Orson Charles (FA) ,3,5,23,7.7,9,0,0,0,0,0,0,13,2.3,0.2,0.0%,2018
110,Matt Flanagan (FA) ,1,2,14,14.0,14,0,0,0,0,0,0,3,1.4,0.5,0.0%,2018
111,Ross Dwelley (SF) ,2,2,14,7.0,8,0,0,0,0,0,0,11,1.4,0.1,0.1%,2018
112,Hakeem Valles (FA) ,2,3,11,5.5,6,0,0,0,0,0,0,3,1.1,0.4,0.0%,2018
113,Dion Sims (FA) ,2,4,9,4.5,9,0,0,0,0,0,0,8,0.9,0.1,0.0%,2018
114,Alan Cross (FA) ,2,5,9,4.5,6,0,0,0,0,0,0,14,0.9,0.1,0.0%,2018
115,Richard Rodgers (FA) ,1,1,7,7.0,7,0,0,0,0,0,0,7,0.7,0.1,0.0%,2018
116,Johnny Mundt (MIN) ,1,1,5,5.0,5,0,0,0,0,0,0,10,0.5,0.1,0.1%,2018
117,Khari Lee (FA) ,1,1,5,5.0,5,0,0,0,0,0,0,2,0.5,0.3,0.0%,2018
118,Kelvin Benjamin (FA) ,25,67,380,15.2,40,11,1,0,0,0,0,15,0.0,0.0,0.1%,2018
119,Jordan Matthews (FA) ,20,28,300,15.0,56,8,2,0,0,0,0,14,0.0,0.0,0.0%,2018
120,Clark Harris (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018
121,Darrell Daniels (FA) ,0,2,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,2018
122,Taysom Hill (NO) ,3,7,4,1.3,5,0,0,37,196,2,1,16,0.0,0.0,24.2%,2018
123,Shane Smith (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2018
124,Alex Ellis (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2018
125,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018
126,Cole Wick (FA) ,0,1,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2018
127,Mason Schreck (HOU) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%,2018
128,Mitchell Loewen (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2018
129,Deon Yelder (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018
130,Garrett Dickerson (FA) ,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2018
131,Donnie Ernsberger (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2018
132,James Looney (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018
133,Jerome Cunningham (FA) ,0,1,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018
134,Kyle Nelson (FA) ,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%,2018
135,Devin Funchess (FA) ,44,79,549,12.5,27,8,4,0,0,0,0,14,0.0,0.0,0.0%,2018
136,Clive Walford (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2018
137,Ben Koyack (FA) ,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,2018
138,Jake Fisher (FA) ,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%,2018
139,Ryan Hewitt (FA) ,1,2,1,1.0,1,0,1,0,0,0,0,12,0.0,0.0,0.0%,2018
140,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%,2018
141,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018
142,Tyler Ott (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018
143,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018
144,Kevin McDermott (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2018
145,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2018
146,Bronson Kaufusi (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2018
147,Temarrick Hemingway (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2018
148,Gabe Holmes (FA) ,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2018
149,Daniel Brown (FA) ,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%,2018
1,Travis Kelce (KC) ,97,136,"1,229",12.7,47,21,5,1,4,1,1,16,157.3,9.8,100.0%,2019
2,Mark Andrews (BAL) ,64,98,852,13.3,51,25,10,0,0,0,1,15,143.2,9.5,99.9%,2019
3,George Kittle (SF) ,85,107,"1,053",12.4,61,25,5,5,22,0,0,14,137.5,9.8,98.9%,2019
4,Darren Waller (NYG) ,90,117,"1,145",12.7,75,23,3,2,5,0,1,16,131.0,8.2,97.8%,2019
5,Zach Ertz (ARI) ,88,135,916,10.4,30,13,6,0,0,0,1,15,127.6,8.5,37.8%,2019
6,Jared Cook (FA) ,43,65,705,16.4,61,23,9,0,0,0,0,14,124.5,8.9,0.0%,2019
7,Austin Hooper (LV) ,75,97,787,10.5,35,11,6,0,0,0,0,13,116.7,9.0,2.3%,2019
8,Hunter Henry (NE) ,55,76,652,11.9,30,9,5,0,0,0,1,12,95.2,7.9,5.9%,2019
9,Tyler Higbee (LAR) ,69,89,734,10.6,33,13,3,0,0,0,0,15,91.4,6.1,72.6%,2019
10,Dallas Goedert (PHI) ,58,87,607,10.5,28,8,5,0,0,0,2,15,86.7,5.8,96.8%,2019
11,Mike Gesicki (NE) ,51,89,570,11.2,34,10,5,0,0,0,1,16,85.0,5.3,39.1%,2019
12,Jason Witten (FA) ,63,83,529,8.4,33,3,4,0,0,0,1,16,76.9,4.8,0.0%,2019
13,Darren Fells (FA) ,34,48,341,10.0,24,2,7,0,0,0,0,16,76.1,4.8,0.0%,2019
14,Kyle Rudolph (FA) ,39,48,367,9.4,32,4,6,0,0,0,0,16,74.7,4.7,0.0%,2019
15,Greg Olsen (FA) ,52,82,597,11.5,41,9,2,0,0,0,0,14,71.7,5.1,7.0%,2019
16,Noah Fant (SEA) ,40,66,562,14.1,75,18,3,3,-12,0,1,16,71.0,4.4,8.4%,2019
17,Jonnu Smith (ATL) ,35,44,439,12.5,57,14,3,4,78,0,0,16,69.7,4.4,0.8%,2019
18,Jack Doyle (FA) ,43,72,448,10.4,23,4,4,0,0,0,0,16,68.8,4.3,2.0%,2019
19,Evan Engram (JAC) ,44,68,467,10.6,75,9,3,3,7,0,0,8,65.4,8.2,94.5%,2019
20,Ryan Griffin (FA) ,34,41,320,9.4,45,6,5,0,0,0,0,13,64.0,4.9,0.0%,2019
21,Tyler Eifert (FA) ,43,63,436,10.1,27,4,3,0,0,0,0,16,63.6,4.0,0.0%,2019
22,Jimmy Graham (FA) ,38,60,447,11.8,48,9,3,0,0,0,0,16,62.7,3.9,0.0%,2019
23,Eric Ebron (FA) ,31,52,375,12.1,48,8,3,0,0,0,0,11,55.5,5.0,0.0%,2019
24,Cameron Brate (FA) ,36,55,311,8.6,37,2,4,0,0,0,0,16,55.1,3.4,1.1%,2019
25,Blake Jarwin (FA) ,31,41,365,11.8,42,11,3,0,0,0,0,16,54.5,3.4,4.0%,2019
26,Jordan Akins (CLE) ,36,55,418,11.6,53,7,2,0,0,0,0,16,53.8,3.4,0.6%,2019
27,Jacob Hollister (FA) ,41,59,349,8.5,22,3,3,0,0,0,0,11,52.9,4.8,0.0%,2019
28,Gerald Everett (LAC) ,37,60,408,11.0,33,9,2,1,0,0,0,13,52.8,4.1,56.9%,2019
29,Dawson Knox (BUF) ,28,50,388,13.9,49,11,2,1,9,0,0,15,51.7,3.4,53.7%,2019
30,Will Dissly (SEA) ,23,27,262,11.4,38,4,4,1,7,0,0,6,50.9,8.5,1.3%,2019
31,O.J. Howard (LV) ,34,53,459,13.5,33,11,1,0,0,0,1,14,49.9,3.6,0.6%,2019
32,T.J. Hockenson (MIN) ,32,59,367,11.5,39,7,2,0,0,0,0,12,48.7,4.1,99.8%,2019
33,Foster Moreau (NO) ,21,25,174,8.3,23,1,5,0,0,0,0,13,47.4,3.6,0.7%,2019
34,Hayden Hurst (CAR) ,30,39,349,11.6,61,7,2,0,0,0,0,16,46.9,2.9,10.7%,2019
35,Vance McDonald (FA) ,38,55,273,7.2,22,2,3,1,2,0,0,14,45.5,3.3,0.0%,2019
36,Ricky Seals-Jones (FA) ,14,22,229,16.4,59,9,4,0,0,0,1,14,44.9,3.2,0.0%,2019
37,Kaden Smith (IND) ,31,42,268,8.6,32,4,3,0,0,0,0,9,44.8,5.0,0.0%,2019
38,Nick Boyle (FA) ,31,43,321,10.4,35,5,2,0,0,0,0,16,44.1,2.8,0.0%,2019
39,Irv Smith Jr. (CIN) ,36,47,311,8.6,29,5,2,0,0,0,0,16,43.1,2.7,22.2%,2019
40,Josh Hill (FA) ,25,35,226,9.0,29,4,3,0,0,0,0,16,40.6,2.5,0.0%,2019
41,C.J. Uzomah (NYJ) ,27,40,242,9.0,36,3,2,0,0,0,0,16,36.2,2.3,0.7%,2019
42,Demetrius Harris (FA) ,15,27,149,9.9,23,2,3,0,0,0,0,15,34.9,2.3,0.0%,2019
43,Delanie Walker (FA) ,21,31,215,10.2,29,1,2,0,0,0,0,7,33.5,4.8,0.1%,2019
44,Jeremy Sprinkle (FA) ,26,40,241,9.3,23,2,1,0,0,0,0,16,30.1,1.9,0.0%,2019
45,Charles Clay (FA) ,18,24,237,13.2,47,6,1,0,0,0,0,15,29.7,2.0,0.0%,2019
46,James O'Shaughnessy (FA) ,14,20,153,10.9,35,2,2,0,0,0,0,5,27.3,5.5,0.0%,2019
47,Anthony Firkser (NE) ,14,24,204,14.6,39,6,1,0,0,0,0,15,26.4,1.8,0.0%,2019
48,Maxx Williams (FA) ,15,19,202,13.5,28,5,1,0,0,0,0,16,26.2,1.6,0.0%,2019
49,Dan Arnold (PHI) ,8,14,127,15.9,37,4,2,0,0,0,0,6,24.7,4.1,0.1%,2019
50,Logan Thomas (WAS) ,16,28,173,10.8,17,0,1,0,0,0,0,16,23.3,1.5,3.0%,2019
51,Rhett Ellison (FA) ,18,28,167,9.3,31,4,1,0,0,0,0,10,22.7,2.3,0.0%,2019
52,Marcedes Lewis (FA) ,15,19,156,10.4,25,2,1,0,0,0,0,16,21.6,1.4,0.0%,2019
53,Ross Dwelley (SF) ,15,22,91,6.1,25,1,2,0,0,0,0,16,21.1,1.3,0.1%,2019
54,Jaeden Graham (FA) ,9,10,149,16.6,53,6,1,0,0,0,0,16,20.9,1.3,0.0%,2019
55,Ian Thomas (CAR) ,16,30,136,8.5,19,0,1,0,0,0,0,16,19.6,1.2,0.1%,2019
56,Derek Carrier (FA) ,13,19,108,8.3,25,2,1,1,27,0,0,16,19.5,1.2,0.0%,2019
57,Matt LaCosse (FA) ,13,19,131,10.1,24,3,1,0,0,0,0,12,19.1,1.6,0.0%,2019
58,Vernon Davis (FA) ,10,19,123,12.3,48,3,1,0,0,0,0,4,18.3,4.6,1.6%,2019
59,Jeff Heuerman (FA) ,14,20,114,8.1,26,1,1,0,0,0,0,14,17.4,1.2,0.0%,2019
60,Ryan Izzo (FA) ,6,9,114,19.0,41,5,1,0,0,0,0,6,17.4,2.9,0.0%,2019
61,Benjamin Watson (FA) ,17,24,173,10.2,26,3,0,0,0,0,0,10,17.3,1.7,2.8%,2019
62,Nick O'Leary (FA) ,13,18,109,8.4,19,0,1,0,0,0,0,12,16.9,1.4,0.0%,2019
63,Nick Vannett (FA) ,17,22,166,9.8,18,0,0,0,0,0,0,16,16.6,1.0,0.0%,2019
64,Hale Hentges (FA) ,8,14,103,12.9,24,2,1,0,0,0,0,11,16.3,1.5,0.0%,2019
65,Robert Tonyan (CHI) ,10,15,100,10.0,28,2,1,0,0,0,0,11,16.0,1.5,1.8%,2019
66,Andrew Beck (HOU) ,9,12,90,10.0,29,1,1,1,3,0,0,16,15.5,1.0,0.0%,2019
67,MyCole Pruitt (FA) ,6,8,90,15.0,42,4,1,0,0,0,0,16,15.0,0.9,0.0%,2019
68,Joshua Perkins (FA) ,9,13,87,9.7,24,1,1,0,0,0,0,5,14.7,2.9,0.0%,2019
69,Jesse James (NO) ,16,27,142,8.9,23,1,0,0,0,0,0,16,14.2,0.9,0.0%,2019
70,Seth DeValve (FA) ,12,18,140,11.7,20,1,0,0,0,0,0,12,14.0,1.2,0.0%,2019
71,Virgil Green (FA) ,9,13,78,8.7,15,0,1,0,0,0,0,15,13.8,0.9,0.0%,2019
72,Daniel Brown (FA) ,7,11,72,10.3,24,2,1,0,0,0,0,16,13.2,0.8,0.0%,2019
73,Tyler Kroft (MIA) ,6,14,71,11.8,20,1,1,0,0,0,0,12,13.1,1.1,0.0%,2019
74,Jesper Horsted (LV) ,8,10,87,10.9,20,1,1,0,0,0,1,6,12.7,2.1,0.0%,2019
75,Ben Braunecker (FA) ,6,11,59,9.8,18,0,1,0,0,0,0,11,11.9,1.1,0.0%,2019
76,Tommy Sweeney (NYG) ,8,13,114,14.3,29,3,0,0,0,0,0,6,11.4,1.9,0.0%,2019
77,Stephen Carlson (CHI) ,5,7,51,10.2,21,1,1,0,0,0,0,9,11.1,1.2,0.0%,2019
78,David Njoku (CLE) ,5,10,41,8.2,18,0,1,0,0,0,0,4,10.1,2.5,92.3%,2019
79,Troy Fumagalli (SF) ,6,9,38,6.3,9,0,1,0,0,0,0,11,9.8,0.9,0.0%,2019
80,Mo Alie-Cox (IND) ,8,11,93,11.6,21,1,0,0,0,0,0,16,9.3,0.6,0.7%,2019
81,Lee Smith (FA) ,4,5,31,7.8,9,0,1,0,0,0,0,16,9.1,0.6,0.0%,2019
82,J.P. Holtz (FA) ,7,8,91,13.0,30,2,0,0,0,0,0,15,9.1,0.6,0.0%,2019
83,Trey Burton (FA) ,14,24,84,6.0,16,0,0,0,0,0,0,9,8.4,0.9,0.0%,2019
84,Luke Willson (FA) ,8,10,79,9.9,17,0,0,0,0,0,0,9,7.9,0.9,0.0%,2019
85,Adam Shaheen (FA) ,9,13,74,8.2,18,0,0,0,0,0,1,8,7.4,0.9,0.0%,2019
86,Cethan Carter (FA) ,2,3,13,6.5,8,0,1,0,0,0,0,15,7.3,0.5,0.0%,2019
87,Blake Bell (KC) ,8,15,67,8.4,30,2,0,0,0,0,0,15,6.7,0.4,0.1%,2019
88,Geoff Swaim (FA) ,13,17,65,5.0,9,0,0,0,0,0,0,6,6.5,1.1,0.0%,2019
89,Durham Smythe (MIA) ,7,14,65,9.3,24,1,0,0,0,0,0,16,6.5,0.4,0.3%,2019
90,Clive Walford (FA) ,4,8,57,14.3,19,0,0,0,4,0,0,8,6.1,0.8,0.0%,2019
91,Tyler Conklin (NYJ) ,8,10,58,7.3,20,1,0,0,0,0,0,16,5.8,0.4,10.3%,2019
92,Luke Stocker (FA) ,8,14,53,6.6,18,0,0,0,0,0,0,15,5.3,0.4,0.0%,2019
93,Lance Kendricks (FA) ,3,7,50,16.7,24,1,0,0,0,0,0,12,5.0,0.4,0.0%,2019
94,Deon Yelder (FA) ,3,4,50,16.7,24,1,0,0,0,0,0,10,5.0,0.5,0.0%,2019
95,Trevon Wesco (TEN) ,2,3,47,23.5,32,2,0,1,2,0,0,16,4.9,0.3,0.1%,2019
96,Ross Travis (FA) ,4,6,51,12.8,25,1,0,0,0,0,1,3,3.1,1.0,0.0%,2019
97,Codey McElroy (FA) ,1,1,30,30.0,30,2,0,0,0,0,0,1,3.0,3.0,0.0%,2019
98,Drew Sample (CIN) ,5,6,30,6.0,21,1,0,0,0,0,0,9,3.0,0.3,0.1%,2019
99,Pharaoh Brown (IND) ,2,3,27,13.5,18,0,0,0,0,0,0,9,2.7,0.3,0.0%,2019
100,Tanner Hudson (CIN) ,2,5,26,13.0,14,0,0,0,0,0,0,9,2.6,0.3,0.1%,2019
101,Johnny Mundt (MIN) ,4,7,26,6.5,9,0,0,0,0,0,0,14,2.6,0.2,0.1%,2019
102,Eric Saubert (MIA) ,2,3,21,10.5,11,0,0,0,0,0,0,2,2.1,1.1,0.2%,2019
103,Josh Oliver (MIN) ,3,6,15,5.0,6,0,0,0,0,0,0,4,1.5,0.4,0.2%,2019
104,Isaac Nauta (FA) ,2,3,13,6.5,10,0,0,0,0,0,0,6,1.3,0.2,0.0%,2019
105,Sean Culkin (FA) ,1,2,12,12.0,12,0,0,0,0,0,0,4,1.2,0.3,0.0%,2019
106,Scott Simonson (FA) ,2,2,11,5.5,10,0,0,0,0,0,0,6,1.1,0.2,0.0%,2019
107,Chris Manhertz (DEN) ,1,1,11,11.0,11,0,0,0,0,0,0,15,1.1,0.1,0.1%,2019
108,Antony Auclair (FA) ,1,3,11,11.0,11,0,0,0,0,0,0,8,1.1,0.1,0.0%,2019
109,Levine Toilolo (FA) ,2,2,10,5.0,8,0,0,0,0,0,0,13,1.0,0.1,0.0%,2019
110,Ben Koyack (FA) ,1,3,9,9.0,9,0,0,0,0,0,0,12,0.9,0.1,0.0%,2019
111,Jordan Thomas (CAR) ,1,3,8,8.0,8,0,0,0,0,0,0,6,0.8,0.1,0.0%,2019
112,Chris Herndon IV (FA) ,1,2,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%,2019
113,Dalton Schultz (HOU) ,1,2,6,6.0,6,0,0,0,0,0,0,16,0.6,0.0,88.7%,2019
114,Charles Jones (FA) ,1,1,5,5.0,5,0,0,0,0,0,0,4,0.5,0.1,0.0%,2019
115,Tyrone Swoopes (FA) ,1,1,5,5.0,5,0,0,0,0,0,0,6,0.5,0.1,0.0%,2019
116,Darrell Daniels (FA) ,1,3,4,4.0,4,0,0,0,0,0,0,11,0.4,0.0,0.0%,2019
117,Zach Gentry (PIT) ,1,1,4,4.0,4,0,0,0,0,0,0,4,0.4,0.1,0.1%,2019
118,Xavier Grimble (FA) ,1,3,3,3.0,3,0,0,0,0,0,0,3,0.3,0.1,0.0%,2019
119,Eric Tomlinson (FA) ,1,1,1,1.0,1,0,0,0,0,0,0,8,0.1,0.0,0.0%,2019
120,Carson Meier (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
121,Brandon Dillon (WAS) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
122,Kendall Blanton (KC) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
123,Jace Sternberger (FA) ,0,1,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%,2019
124,Matthew Orzech (GB) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2019
125,J.J. Arcega-Whiteside (ATL) ,10,22,169,16.9,30,5,1,0,0,0,0,16,0.0,0.0,0.0%,2019
126,Logan Paulsen (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
127,Kelvin Benjamin (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2019
128,Jordan Matthews (FA) ,4,12,33,8.3,10,0,0,0,0,0,0,3,0.0,0.0,0.0%,2019
129,Richard Rodgers (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2019
130,Erik Swoope (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2019
131,Garrett Celek (FA) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%,2019
