RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN,Year
79,Pharaoh Brown (IND) ,12,20,117,9.8,30,2,0,0,0,0,0,9,11.7,1.3,0.0%,2023
80,Josiah Deguara (GB) ,13,15,114,8.8,25,1,0,0,0,0,0,9,11.4,1.3,0.2%,2023
81,Brycen Hopkins (LAR) ,7,11,109,15.6,22,2,0,0,0,0,0,7,10.9,1.6,0.1%,2023
82,Giovanni Ricci (CAR) ,8,9,100,12.5,32,2,0,0,0,0,0,11,10.0,0.9,0.0%,2023
83,Anthony Firkser (NE) ,9,13,100,11.1,22,1,0,0,0,0,0,8,10.0,1.3,0.0%,2023
84,Armani Rogers (WAS) ,5,6,64,12.8,23,1,0,2,26,0,0,9,9.0,1.0,0.1%,2023
85,Parker Hesse (ATL) ,9,11,89,9.9,22,1,0,0,0,0,0,12,8.9,0.7,0.1%,2023
86,Kyle Rudolph (FA) ,3,5,28,9.3,12,0,1,0,0,0,0,5,8.8,1.8,0.0%,2023
87,Grant Calcaterra (PHI) ,5,9,81,16.2,40,3,0,0,0,0,0,6,8.1,1.4,0.1%,2023
88,Blake Bell (KC) ,2,2,20,10.0,17,0,1,0,0,0,0,2,8.0,4.0,0.1%,2023
89,Tre' McKitty (LAC) ,10,18,72,7.2,12,0,0,0,0,0,0,13,7.2,0.6,0.1%,2023
90,Andrew Beck (HOU) ,5,11,69,13.8,27,2,0,2,0,0,0,9,6.9,0.8,0.0%,2023
91,Tyler Mabry (SEA) ,1,1,7,7.0,7,0,1,0,0,0,0,1,6.7,6.7,0.0%,2023
92,Tyler Kroft (MIA) ,4,5,57,14.3,28,1,0,0,0,0,0,6,5.7,1.0,0.0%,2023
93,Nick Vannett (FA) ,6,9,55,9.2,15,0,0,0,0,0,0,7,5.5,0.8,0.0%,2023
94,Charlie Kolar (BAL) ,4,6,49,12.3,15,0,0,0,0,0,0,1,4.9,4.9,0.1%,2023
95,Trevon Wesco (TEN) ,2,4,26,13.0,23,1,0,0,0,0,0,6,4.6,0.8,0.1%,2023
96,Stephen Sullivan (CAR) ,2,6,46,23.0,33,2,0,0,0,0,0,8,4.6,0.6,0.0%,2023
97,Chris Manhertz (DEN) ,6,8,42,7.0,21,1,0,0,0,0,0,8,4.2,0.5,0.1%,2023
98,Luke Farrell (JAC) ,4,4,40,10.0,15,0,0,0,0,0,0,4,4.0,1.0,0.1%,2023
99,Kendall Blanton (KC) ,2,2,35,17.5,28,1,0,0,0,0,0,2,3.5,1.8,0.0%,2023
100,Ryan Griffin (FA) ,4,8,26,6.5,18,0,0,0,0,0,0,10,2.6,0.3,0.0%,2023
