RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,OWN,Year
94,Mike Boone (FA),24,102,4.3,18,0,0,9,15,96,10.7,0,0,8,19.8,2.5,1.0%,2022
95,Jonathan Williams (FA),37,152,4.1,23,1,0,7,10,40,5.7,0,0,9,19.2,2.1,0.0%,2022
96,Tevin Coleman (FA),12,26,2.2,14,0,1,3,3,44,14.7,1,0,3,19.0,6.3,0.0%,2022
97,Brandon Bolden (FA),17,66,3.9,12,0,0,10,10,62,6.2,1,0,12,18.8,1.6,0.0%,2022
98,Malcolm Brown (FA),18,81,4.5,23,1,1,5,6,37,7.4,0,0,7,17.8,2.5,0.0%,2022
99,Darrel Williams (FA),21,102,4.9,30,1,1,4,8,9,2.3,0,0,5,17.1,3.4,0.0%,2022
100,Corey Clement (FA),15,55,3.7,12,0,1,5,7,54,10.8,0,0,5,16.9,3.4,0.0%,2022
101,Benny Snell Jr. (FA),20,90,4.5,16,0,1,2,2,17,8.5,0,0,9,16.7,1.9,0.0%,2022
102,Sony Michel (FA),36,106,2.9,12,0,0,9,13,53,5.9,0,0,10,15.9,1.6,0.0%,2022
103,Ronald Jones II (FA),17,70,4.1,13,0,1,1,1,22,22.0,0,0,5,15.2,3.0,0.0%,2022
104,Derek Watt (FA),9,21,2.3,4,0,1,5,5,11,2.2,1,0,12,15.2,1.3,0.0%,2022
105,Hassan Haskins (LAC),25,93,3.7,12,0,0,11,12,57,5.2,0,0,14,15.0,1.1,1.1%,2022
106,Keaontay Ingram (KC),27,60,2.2,13,0,1,4,5,21,5.3,0,0,11,14.1,1.3,0.0%,2022
107,Reggie Gilliam (BUF),0,0,0,0,0,0,9,11,76,8.4,1,0,11,13.6,1.2,0.0%,2022
108,Zander Horvath (FA),4,8,2.0,3,0,0,5,8,8,1.6,2,0,8,13.6,1.7,1.2%,2022
109,Salvon Ahmed (IND),12,64,5.3,11,0,1,1,1,8,8.0,0,0,7,13.2,1.9,0.0%,2022
110,Royce Freeman (FA),41,117,2.9,11,0,0,6,8,33,5.5,0,1,5,13.0,2.6,0.0%,2022
111,Kevin Harris (FA),18,52,2.9,14,0,1,0,0,0,0,0,0,5,11.2,2.2,0.0%,2022
112,Snoop Conner (FA),12,42,3.5,8,0,1,0,0,0,0,0,0,5,10.2,2.0,0.0%,2022
113,Tyrion Davis-Price (FA),34,99,2.9,20,1,0,0,2,0,0,0,0,5,9.9,2.0,0.0%,2022
