RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,OWN,Year
48,Zach Charbonnet (SEA),108,462,4.3,23,4,1,33,40,209,6.3,0,0,16,73.1,4.6,77.2%,2023
49,Samaje Perine (CIN),53,238,4.5,24,1,1,50,56,455,9.1,0,2,17,71.3,4.2,1.3%,2023
50,Dameon Pierce (HOU),145,416,2.9,22,1,2,13,17,101,7.8,0,0,14,69.7,5.0,4.4%,2023
51,Roschon Johnson (CHI),81,352,4.3,29,2,2,34,40,209,6.1,0,0,15,68.1,4.5,9.6%,2023
52,Kenneth Gainwell (PIT),84,364,4.3,32,3,2,30,37,183,6.1,0,1,16,67.4,4.2,1.2%,2023
53,Latavius Murray (FA),79,300,3.8,29,2,4,17,22,119,7.0,0,0,15,65.9,4.4,0.0%,2023
54,Keaton Mitchell (BAL),47,396,8.4,60,7,2,9,11,93,10.3,0,0,7,60.9,8.7,5.7%,2023
55,Miles Sanders (DAL),129,432,3.3,48,1,1,27,41,154,5.7,0,2,16,60.6,3.8,4.2%,2023
56,Jerick McKinnon (FA),21,60,2.9,10,0,1,25,32,192,7.7,4,0,12,59.4,5.0,0.0%,2023
57,Zamir White (LV),104,451,4.3,43,2,1,15,19,98,6.5,0,1,15,58.9,3.9,1.0%,2023
58,Joshua Kelley (FA),107,405,3.8,49,2,2,8,12,32,4.0,0,1,17,53.7,3.2,0.0%,2023
59,Clyde Edwards-Helaire (KC),70,223,3.2,20,1,1,17,22,188,11.1,1,0,15,53.1,3.5,0.8%,2023
60,Emari Demercado (ARI),58,284,4.9,49,1,2,21,30,119,5.7,0,0,14,52.3,3.7,0.7%,2023
61,Royce Freeman (FA),77,319,4.1,23,1,2,1,2,13,13.0,0,0,11,45.2,4.1,0.0%,2023
62,Jamaal Williams (FA),106,306,2.9,17,0,1,18,20,62,3.4,0,0,13,42.8,3.3,1.1%,2023
63,Jordan Mason (MIN),40,206,5.2,26,1,3,3,4,31,10.3,0,0,16,41.7,2.6,80.0%,2023
64,Elijah Mitchell (KC),75,281,3.7,18,0,2,6,8,14,2.3,0,0,11,41.5,3.8,1.9%,2023
65,Chase Brown (CIN),44,179,4.1,31,2,0,14,15,156,11.1,1,0,12,39.5,3.3,99.2%,2023
66,Pierre Strong Jr. (FA),63,291,4.6,40,2,1,5,8,47,9.4,0,1,17,37.8,2.2,0.7%,2023
67,Chris Rodriguez Jr. (WAS),51,247,4.8,16,0,2,2,2,12,6.0,0,1,11,35.9,3.3,7.4%,2023
68,Cam Akers (FA),60,167,2.8,19,0,2,11,12,70,6.4,0,0,7,35.7,5.1,0.7%,2023
69,Michael Carter (ARI),30,187,6.2,21,1,0,24,31,101,4.2,1,0,15,34.8,2.3,1.1%,2023
70,Darrell Henderson Jr. (FA),46,112,2.4,16,0,2,10,14,103,10.3,0,0,4,33.5,8.4,0.0%,2023
71,Kendre Miller (NO),41,156,3.8,18,0,1,10,11,117,11.7,0,0,8,33.3,4.2,4.9%,2023
72,Matt Breida (FA),55,151,2.7,9,0,1,17,21,88,5.2,0,0,15,29.9,2.0,0.0%,2023
73,Cordarrelle Patterson (FA),50,181,3.6,18,0,0,9,12,38,4.2,1,0,12,27.9,2.3,0.6%,2023
74,Jeff Wilson Jr. (MIA),41,188,4.6,15,0,0,14,17,85,6.1,0,0,9,27.3,3.0,1.0%,2023
75,Salvon Ahmed (IND),22,61,2.8,10,0,1,16,23,88,5.5,1,0,8,26.9,3.4,0.0%,2023
76,Chase Edmonds (FA),49,176,3.6,21,1,0,14,17,81,5.8,0,0,13,25.7,2.0,0.0%,2023
77,Ty Johnson (BUF),30,132,4.4,13,0,0,7,7,62,8.9,1,0,9,25.4,2.8,1.5%,2023
78,Tony Jones Jr. (FA),26,95,3.7,19,0,2,7,10,37,5.3,0,0,6,25.2,4.2,0.0%,2023
79,Dalvin Cook (FA),67,214,3.2,14,0,0,15,20,78,5.2,0,2,14,25.2,1.8,0.6%,2023
80,D'Ernest Johnson (FA),41,108,2.6,19,0,0,10,12,140,14.0,0,0,16,24.8,1.6,1.0%,2023
81,Craig Reynolds (DET),41,179,4.4,19,0,1,5,5,47,9.4,0,2,15,24.6,1.6,0.6%,2023
82,Kyle Juszczyk (SF),5,6,1.2,3,0,0,14,17,119,8.5,2,0,17,24.5,1.4,0.9%,2023
83,Darrynton Evans (FA),32,121,3.8,13,0,1,7,12,49,7.0,0,0,6,23.0,3.8,0.0%,2023
84,Ameer Abdullah (FA),15,89,5.9,12,0,0,19,24,131,6.9,0,0,16,22.0,1.4,1.1%,2023
85,Tank Bigsby (JAC),50,132,2.6,12,0,2,1,4,6,6.0,0,2,16,21.8,1.4,70.5%,2023
86,Nick Chubb (HOU),28,170,6.1,20,1,0,4,4,21,5.3,0,0,2,19.1,9.6,68.6%,2023
87,Patrick Taylor Jr. (SF),32,141,4.4,24,1,0,11,17,49,4.5,0,0,11,19.0,1.7,1.3%,2023
88,Kevin Harris (FA),16,65,4.1,18,0,1,3,3,58,19.3,0,0,4,18.3,4.6,0.0%,2023
89,Trey Sermon (PIT),35,160,4.6,27,1,0,3,6,13,4.3,0,0,8,17.3,2.2,1.0%,2023
90,Damien Harris (FA),23,94,4.1,11,0,1,2,2,16,8.0,0,0,7,17.0,2.4,9.0%,2023
91,Melvin Gordon III (FA),26,81,3.1,22,1,1,3,3,46,15.3,0,1,4,16.7,4.2,0.0%,2023
92,Ronnie Rivers (LAR),32,129,4.0,10,0,0,5,5,22,4.4,0,0,9,15.1,1.7,1.1%,2023
93,Isaiah Spiller (FA),37,96,2.6,8,0,0,6,6,34,5.7,0,0,9,13.0,1.4,0.0%,2023
94,Tyler Goodson (IND),13,87,6.7,31,1,0,6,9,34,5.7,0,0,6,12.1,2.0,0.7%,2023
95,Alec Ingold (MIA),2,0,0.0,0,0,0,13,16,119,9.2,0,0,17,11.9,0.7,0.6%,2023
96,Boston Scott (FA),20,86,4.3,18,0,0,4,6,52,13.0,0,1,12,11.8,1.0,0.0%,2023
97,Patrick Ricard (BAL),0,0,0,0,0,0,5,7,52,10.4,1,0,17,11.2,0.7,0.8%,2023
98,Raheem Blackshear (FA),14,46,3.3,9,0,0,6,7,45,7.5,0,0,11,11.1,1.0,0.8%,2023
99,Brandon Bolden (FA),4,31,7.8,26,1,1,0,0,0,0,0,0,5,11.1,2.2,0.0%,2023
100,La'Mical Perine (FA),22,77,3.5,10,0,0,3,5,33,11.0,0,0,2,11.0,5.5,0.0%,2023
101,Emanuel Wilson (GB),14,85,6.1,31,1,0,4,5,23,5.8,0,0,7,10.8,1.5,1.6%,2023
102,Chris Brooks (GB),19,106,5.6,52,2,0,0,0,0,0,0,0,3,10.6,3.5,0.8%,2023
103,Keaontay Ingram (KC),35,74,2.1,14,0,0,4,4,26,6.5,0,0,7,10.0,1.4,0.0%,2023
104,Hunter Luepke (DAL),6,19,3.2,9,0,1,3,4,18,6.0,0,0,17,9.7,0.6,0.6%,2023
105,J.K. Dobbins (DEN),8,22,2.8,4,0,1,2,3,15,7.5,0,0,1,9.7,9.7,84.4%,2023
106,Israel Abanikanda (GB),22,70,3.2,12,0,0,7,11,43,6.1,0,1,7,9.3,1.3,2.7%,2023
107,Nick Bawden (FA),2,4,2.0,3,0,1,3,3,21,7.0,0,0,6,8.5,1.4,0.0%,2023
108,Dare Ogunbowale (HOU),8,35,4.4,17,0,0,2,7,18,9.0,0,0,10,8.3,0.8,0.7%,2023
109,Deuce Vaughn (FA),23,40,1.7,13,0,0,7,7,40,5.7,0,0,7,8.0,1.1,0.6%,2023
110,Trayveon Williams (CLE),15,69,4.6,15,0,0,7,9,10,1.4,0,0,16,7.9,0.5,0.0%,2023
111,Eric Gray (NYG),17,48,2.8,12,0,0,6,7,22,3.7,0,0,14,7.0,0.5,1.0%,2023
112,Gary Brightwell (CIN),9,19,2.1,5,0,0,5,7,47,9.4,0,0,4,6.6,1.7,0.0%,2023
113,Mike Boone (FA),5,23,4.6,11,0,0,7,9,40,5.7,0,0,9,6.3,0.7,1.0%,2023
114,Damien Williams (FA),11,43,3.9,9,0,0,2,2,12,6.0,0,0,3,5.5,1.8,0.0%,2023
115,Ty Montgomery II (FA),3,9,3.0,7,0,0,5,12,40,8.0,0,0,11,4.9,0.4,0.0%,2023
116,Ke'Shawn Vaughn (FA),24,42,1.8,9,0,0,2,5,2,1.0,0,0,5,4.4,0.9,0.0%,2023
117,Leonard Fournette (FA),12,40,3.3,9,0,0,0,0,0,0,0,0,2,4.0,2.0,0.0%,2023
118,Rashaad Penny (FA),11,33,3.0,7,0,0,1,1,5,5.0,0,0,3,3.8,1.3,0.0%,2023
119,Michael Burton (DEN),7,9,1.3,4,0,0,3,3,8,2.7,0,0,17,3.7,0.2,0.0%,2023
120,Keith Smith (FA),0,0,0,0,0,0,3,3,33,11.0,0,0,11,3.3,0.3,0.0%,2023
121,C.J. Ham (MIN),1,7,7.0,7,0,0,7,9,25,3.6,0,0,17,3.2,0.2,0.6%,2023
122,Sean Tucker (TB),15,23,1.5,7,0,0,2,2,9,4.5,0,0,5,3.2,0.6,3.1%,2023
123,Khari Blasingame (FA),8,26,3.3,6,0,0,3,6,2,0.7,0,0,8,2.8,0.4,0.0%,2023
124,Derrick Gore (FA),3,26,8.7,23,1,0,0,0,0,0,0,0,3,2.6,0.9,0.0%,2023
125,DeeJay Dallas (CAR),10,36,3.6,8,0,0,6,9,26,4.3,0,2,17,2.2,0.1,0.0%,2023
126,Jake Funk (FA),2,10,5.0,7,0,0,1,1,12,12.0,0,0,1,2.2,2.2,0.0%,2023
127,Zonovan Knight (ARI),3,13,4.3,8,0,0,1,1,8,8.0,0,0,2,2.1,1.1,0.0%,2023
128,Tyrion Davis-Price (FA),6,21,3.5,15,0,0,0,0,0,0,0,0,1,2.1,2.1,0.0%,2023
129,Elijah Dotson (FA),4,6,1.5,2,0,0,2,2,13,6.5,0,0,1,1.9,1.9,0.0%,2023
130,Zach Evans (FA),9,19,2.1,5,0,0,0,0,0,0,0,0,4,1.9,0.5,1.2%,2023
131,Alex Armah Jr. (FA),0,0,0,0,0,0,3,3,13,4.3,0,0,4,1.3,0.3,0.0%,2023
132,Devine Ozigbo (FA),3,5,1.7,4,0,0,1,1,8,8.0,0,0,1,1.3,1.3,1.0%,2023
133,Jashaun Corbin (FA),1,1,1.0,1,0,0,3,3,12,4.0,0,0,3,1.3,0.4,0.0%,2023
134,Kene Nwangwu (NYJ),5,13,2.6,8,0,0,0,0,0,0,0,0,8,1.3,0.2,0.0%,2023
135,Jakob Johnson (HOU),0,0,0,0,0,0,1,2,12,12.0,0,0,8,1.2,0.2,0.0%,2023
136,Jonathan Ward (FA),3,11,3.7,8,0,0,0,0,0,0,0,0,2,1.1,0.6,0.0%,2023
137,Chris Evans (FA),2,12,6.0,7,0,0,1,1,-1,-1.0,0,0,3,1.1,0.4,0.0%,2023
138,Anthony McFarland Jr. (FA),0,0,0,0,0,0,2,2,11,5.5,0,0,3,1.1,0.4,1.1%,2023
139,Kenyan Drake (FA),2,0,0.0,0,0,0,2,3,31,15.5,0,1,2,1.1,0.6,1.1%,2023
140,Evan Hull (FA),1,1,1.0,1,0,0,1,1,6,6.0,0,0,1,0.7,0.7,1.2%,2023
141,Adam Prentice (DEN),2,12,6.0,7,0,0,2,3,12,6.0,0,1,6,0.4,0.1,0.0%,2023
142,Reggie Gilliam (BUF),0,0,0,0,0,0,1,1,3,3.0,0,0,16,0.3,0.0,0.0%,2023
143,JaMycal Hasty (MIA),0,0,0,0,0,0,0,2,0,0,0,0,1,0.0,0.0,1.1%,2023
144,James Robinson (FA),1,2,2.0,2,0,0,1,1,-2,-2.0,0,0,1,0.0,0.0,0.0%,2023
145,Kirk Merritt (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
146,Mohamed Ibrahim (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
147,Julius Chestnut (TEN),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.2%,2023
148,Brittain Brown (CHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.2%,2023
149,Velus Jones Jr. (NO),8,51,6.4,17,0,0,4,7,20,5.0,0,0,13,0.0,0.0,0.0%,2023
150,Bryant Koback (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
151,Malik Davis (DAL),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.1%,2023
152,Jordan Mims (TEN),0,0,0,0,0,0,0,2,0,0,0,0,3,0.0,0.0,0.0%,2023
153,Derek Parish (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
154,Brady Russell (SEA),0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%,2023
155,Ben VanSumeren (PHI),0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,1.4%,2023
156,Henry Pearson (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
157,SaRodorick Thompson Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
158,Scott Matlock (LAC),0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,16.0%,2023
159,Jason Cabinda (FA),1,0,0.0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,1.1%,2023
160,Godwin Igwebuike (FA),0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,2023
161,Jeremy McNichols (WAS),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.7%,2023
162,Corey Clement (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
163,Marlon Mack (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
164,Travis Homer (CHI),0,0,0,0,0,0,0,1,0,0,0,0,9,0.0,0.0,0.6%,2023
165,Patrick Laird (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023
166,Austin Walter (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023
167,Andrew Beck (NYJ),5,3,0.6,2,0,1,11,13,55,5.0,2,1,13,0.0,0.0,0.0%,2023
168,Dwayne Washington (FA),0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2023
169,Jonathan Williams (FA),1,-2,-2.0,0,0,0,0,1,0,0,0,0,1,-0.2,-0.2,0.0%,2023
170,Deon Jackson (FA),14,16,1.1,7,0,0,5,6,14,2.8,0,2,2,-1.0,-0.5,0.0%,2023
1,Saquon Barkley (PHI),345,"2,005",5.8,72,17,13,33,43,278,8.4,2,1,16,322.3,20.1,99.8%,2024
2,Derrick Henry (BAL),325,"1,921",5.9,87,19,16,19,22,193,10.2,2,1,17,317.4,18.7,99.8%,2024
3,Jahmyr Gibbs (DET),250,"1,412",5.6,70,13,16,52,63,517,9.9,4,1,17,310.9,18.3,99.8%,2024
4,Bijan Robinson (ATL),304,"1,456",4.8,37,5,14,61,72,431,7.1,1,0,17,280.7,16.5,99.8%,2024
5,Josh Jacobs (GB),301,"1,329",4.4,38,7,15,36,43,342,9.5,1,3,17,257.1,15.1,99.7%,2024
6,Kyren Williams (LAR),316,"1,299",4.1,30,2,14,34,40,182,5.4,2,3,16,238.1,14.9,99.4%,2024
7,James Cook (BUF),207,"1,009",4.9,65,6,16,32,38,258,8.1,2,0,16,234.7,14.7,99.3%,2024
8,Jonathan Taylor (IND),303,"1,431",4.7,70,11,11,18,31,136,7.6,1,1,14,226.7,16.2,99.6%,2024
9,De'Von Achane (MIA),203,907,4.5,61,5,6,78,87,592,7.6,6,0,17,221.9,13.1,99.7%,2024
10,James Conner (ARI),236,"1,094",4.6,53,6,8,47,55,414,8.8,1,1,16,206.8,12.9,96.8%,2024
11,Joe Mixon (HOU),245,"1,016",4.1,59,8,11,36,52,309,8.6,1,0,14,204.5,14.6,86.1%,2024
12,Chase Brown (CIN),229,990,4.3,40,8,7,54,65,360,6.7,4,1,16,201.0,12.6,99.2%,2024
13,Chuba Hubbard (CAR),250,"1,195",4.8,38,8,10,43,54,171,4.0,1,3,15,198.6,13.2,98.0%,2024
14,Bucky Irving (TB),207,"1,122",5.4,56,8,8,47,52,392,8.3,0,1,17,197.4,11.6,99.7%,2024
15,Alvin Kamara (NO),228,950,4.2,24,3,6,68,89,543,8.0,2,0,14,197.3,14.1,98.5%,2024
16,Aaron Jones Sr. (MIN),255,"1,138",4.5,41,3,5,51,62,408,8.0,2,3,17,190.6,11.2,93.1%,2024
17,David Montgomery (DET),185,775,4.2,21,1,12,36,38,341,9.5,0,1,14,185.7,13.3,95.9%,2024
18,Breece Hall (NYJ),209,876,4.2,42,3,5,57,76,483,8.5,3,2,16,183.9,11.5,97.4%,2024
19,D'Andre Swift (CHI),253,959,3.8,56,5,6,42,52,386,9.2,0,0,17,172.5,10.1,93.9%,2024
20,Najee Harris (LAC),263,"1,043",4.0,36,9,6,36,48,283,7.9,0,0,17,168.6,9.9,50.7%,2024
21,J.K. Dobbins (DEN),195,905,4.6,61,6,9,32,38,153,4.8,0,0,13,159.8,12.3,84.4%,2024
22,Tony Pollard (TEN),260,"1,079",4.2,41,6,5,41,57,238,5.8,0,2,16,159.7,10.0,92.6%,2024
23,Rico Dowdle (CAR),235,"1,079",4.6,27,2,2,39,49,249,6.4,3,2,16,158.8,9.9,18.7%,2024
24,Rachaad White (TB),144,613,4.3,56,2,3,51,57,393,7.7,6,3,16,148.6,9.3,52.8%,2024
25,Zach Charbonnet (SEA),135,569,4.2,51,3,8,42,52,340,8.1,1,0,17,144.9,8.5,77.2%,2024
26,Tyrone Tracy Jr. (NYG),192,839,4.4,45,6,5,38,53,284,7.5,1,2,17,144.3,8.5,90.3%,2024
27,Rhamondre Stevenson (NE),207,801,3.9,33,2,7,33,41,168,5.1,1,3,15,142.9,9.5,76.0%,2024
28,Brian Robinson Jr. (SF),187,799,4.3,40,4,8,20,25,159,8.0,0,2,14,139.8,10.0,72.9%,2024
29,Kenneth Walker III (SEA),153,573,3.7,28,5,7,46,53,299,6.5,1,0,11,135.2,12.3,97.8%,2024
30,Kareem Hunt (KC),200,728,3.6,20,1,7,23,32,176,7.7,0,0,13,132.4,10.2,18.5%,2024
31,Tank Bigsby (JAC),168,766,4.6,65,4,7,7,12,54,7.7,0,1,16,122.0,7.6,70.5%,2024
32,Javonte Williams (DAL),139,513,3.7,20,1,4,52,70,346,6.7,0,2,17,105.9,6.2,78.4%,2024
33,Jordan Mason (MIN),153,789,5.2,38,9,3,11,14,91,8.3,0,1,12,104.0,8.7,80.0%,2024
34,Alexander Mattison (MIA),132,420,3.2,24,1,4,36,48,294,8.2,1,1,14,101.4,7.2,0.6%,2024
35,Ray Davis (BUF),113,442,3.9,23,2,3,17,19,189,11.1,3,0,17,99.1,5.8,32.5%,2024
36,Austin Ekeler (WAS),77,367,4.8,50,4,4,35,41,366,10.5,0,0,12,97.3,8.1,71.4%,2024
37,Jerome Ford (CLE),104,565,5.4,66,5,3,37,43,225,6.1,0,0,14,97.0,6.9,47.9%,2024
38,Tyler Allgeier (ATL),137,644,4.7,25,4,3,13,13,88,6.8,0,0,17,93.2,5.5,36.2%,2024
39,Travis Etienne Jr. (JAC),150,558,3.7,22,2,2,39,52,254,6.5,0,1,15,91.2,6.1,85.4%,2024
40,Jaylen Warren (PIT),120,511,4.3,22,1,1,38,47,310,8.2,0,1,15,86.1,5.7,87.7%,2024
41,Ameer Abdullah (FA),66,311,4.7,40,1,2,40,47,261,6.5,3,1,15,85.2,5.7,1.1%,2024
42,Justice Hill (BAL),47,228,4.9,51,2,1,42,51,383,9.1,3,0,15,85.1,5.7,11.5%,2024
43,Emanuel Wilson (GB),103,502,4.9,21,1,4,11,14,48,4.4,1,0,17,85.0,5.0,1.6%,2024
44,Tyjae Spears (TEN),84,312,3.7,23,1,4,30,35,224,7.5,1,0,12,83.6,7.0,48.5%,2024
45,Antonio Gibson (NE),120,538,4.5,45,4,1,23,29,206,9.0,0,0,17,80.4,4.7,1.3%,2024
46,Isaac Guerendo (SF),84,420,5.0,76,2,4,15,16,152,10.1,0,1,16,79.2,5.0,19.1%,2024
47,Cam Akers (FA),104,444,4.3,58,2,2,14,18,68,4.9,3,1,16,79.2,5.0,0.7%,2024
48,Devin Singletary (NYG),113,437,3.9,43,2,4,21,24,119,5.7,0,2,16,75.6,4.7,1.5%,2024
49,Ty Johnson (BUF),41,213,5.2,19,0,1,18,25,284,15.8,3,0,17,73.7,4.3,1.5%,2024
50,Jaleel McLaughlin (DEN),113,496,4.4,21,1,1,24,27,76,3.2,2,1,16,73.2,4.6,1.9%,2024
51,Braelon Allen (NYJ),92,334,3.6,20,1,2,19,27,148,7.8,1,0,17,66.2,3.9,50.4%,2024
52,Roschon Johnson (CHI),55,150,2.7,9,0,6,16,20,104,6.5,0,0,13,61.4,4.7,9.6%,2024
53,Gus Edwards (FA),101,365,3.6,43,1,4,3,5,6,2.0,0,0,11,61.1,5.6,0.6%,2024
54,Sean Tucker (TB),50,308,6.2,36,2,2,9,12,109,12.1,1,0,17,59.7,3.5,3.1%,2024
55,Zack Moss (FA),74,242,3.3,16,0,2,23,27,187,8.1,1,1,9,58.9,6.5,2.0%,2024
56,Nick Chubb (HOU),102,332,3.3,19,0,3,5,11,31,6.2,1,1,8,58.3,7.3,68.6%,2024
57,Jeremy McNichols (WAS),55,261,4.7,28,2,4,9,12,27,3.0,0,0,17,54.8,3.2,0.7%,2024
58,Samaje Perine (CIN),20,92,4.6,13,0,1,28,35,322,11.5,1,0,17,53.4,3.1,1.3%,2024
59,Miles Sanders (DAL),55,205,3.7,26,1,2,24,30,148,6.2,1,0,11,53.3,4.8,4.2%,2024
60,Raheem Mostert (LV),85,278,3.3,21,1,2,19,23,161,8.5,0,2,13,51.9,4.0,4.9%,2024
61,Kenneth Gainwell (PIT),75,290,3.9,20,1,1,16,22,116,7.3,0,0,17,46.6,2.7,1.2%,2024
62,Ezekiel Elliott (FA),74,226,3.1,11,0,3,12,15,69,5.8,0,1,15,45.5,3.0,0.8%,2024
63,Isiah Pacheco (KC),83,310,3.7,34,1,1,12,16,79,6.6,0,0,7,44.9,6.4,94.3%,2024
64,Audric Estime (PHI),76,310,4.1,21,1,2,5,5,27,5.4,0,1,13,43.7,3.4,1.3%,2024
65,Dameon Pierce (HOU),40,293,7.3,92,2,2,2,4,2,1.0,0,0,11,41.5,3.8,4.4%,2024
66,Trey Benson (ARI),63,291,4.6,20,1,1,6,6,59,9.8,0,0,13,41.0,3.2,47.2%,2024
67,Emari Demercado (ARI),24,223,9.3,53,2,1,16,20,104,6.5,0,0,13,38.7,3.0,0.7%,2024
68,Kyle Juszczyk (SF),5,26,5.2,14,0,1,19,31,200,10.5,2,1,17,38.6,2.3,0.9%,2024
69,Trey Sermon (PIT),56,159,2.8,17,0,2,16,19,99,6.2,0,0,15,37.8,2.5,1.0%,2024
70,Dare Ogunbowale (HOU),30,112,3.7,35,1,0,19,28,198,10.4,1,0,17,37.0,2.2,0.7%,2024
71,Isaiah Davis (NYJ),30,174,5.8,20,1,1,9,12,75,8.3,1,0,14,36.9,2.6,1.2%,2024
72,Tyler Goodson (IND),32,153,4.8,33,1,1,11,15,61,5.5,1,0,16,33.4,2.1,0.7%,2024
73,Christian McCaffrey (SF),50,202,4.0,19,0,0,15,19,146,9.7,0,1,4,32.8,8.2,99.8%,2024
74,Chris Brooks (GB),36,183,5.1,23,1,1,11,13,69,6.3,0,0,13,31.2,2.4,0.8%,2024
75,Chris Rodriguez Jr. (WAS),35,173,4.9,25,1,2,1,1,12,12.0,0,0,8,30.5,3.8,7.4%,2024
76,Hassan Haskins (LAC),34,89,2.6,12,0,2,3,3,49,16.3,1,1,15,29.8,2.0,1.1%,2024
77,Jamaal Williams (FA),48,164,3.4,14,0,1,9,11,57,6.3,0,0,14,28.1,2.0,1.1%,2024
78,Kimani Vidal (LAC),43,155,3.6,19,0,0,5,9,62,12.4,1,0,10,27.7,2.8,0.6%,2024
79,Patrick Taylor Jr. (SF),39,183,4.7,29,1,1,3,11,25,8.3,0,0,9,26.8,3.0,1.3%,2024
80,D'Onta Foreman (FA),71,232,3.3,25,1,0,6,8,54,9.0,0,1,10,26.6,2.7,2.7%,2024
81,Blake Corum (LAR),58,207,3.6,12,0,0,7,8,58,8.3,0,0,15,26.5,1.8,11.5%,2024
82,Cordarrelle Patterson (FA),32,135,4.2,14,0,0,12,14,80,6.7,1,1,13,25.5,2.0,0.6%,2024
83,Michael Carter (ARI),35,131,3.7,13,0,1,11,11,57,5.2,0,0,4,24.8,6.2,1.1%,2024
84,Kendre Miller (NO),39,148,3.8,17,0,1,5,8,33,6.6,0,0,7,24.1,3.4,4.9%,2024
85,D'Ernest Johnson (FA),32,143,4.5,22,1,0,12,19,96,8.0,0,0,12,23.9,2.0,1.0%,2024
86,Jaylen Wright (MIA),68,249,3.7,20,1,0,3,6,8,2.7,0,1,15,23.7,1.6,16.4%,2024
87,Zamir White (LV),65,183,2.8,17,0,1,6,8,30,5.0,0,2,8,23.3,2.9,1.0%,2024
88,Ty Chandler (MIN),56,182,3.3,25,1,0,6,6,42,7.0,0,0,15,22.4,1.5,1.0%,2024
89,Khalil Herbert (FA),36,130,3.6,14,0,1,10,11,25,2.5,0,0,12,21.5,1.8,0.9%,2024
90,Pierre Strong Jr. (FA),26,108,4.2,19,0,0,14,22,104,7.4,0,0,13,21.2,1.6,0.7%,2024
91,Sincere McCormick (SF),39,183,4.7,29,1,0,6,7,29,4.8,0,0,4,21.2,5.3,0.7%,2024
92,Kenny McIntosh (SEA),31,172,5.5,25,1,0,3,4,22,7.3,0,0,12,19.4,1.6,1.0%,2024
93,Michael Burton (DEN),7,8,1.1,3,0,1,10,10,65,6.5,1,0,17,19.3,1.1,0.0%,2024
94,JaMycal Hasty (MIA),20,69,3.5,15,0,0,10,12,59,5.9,1,0,12,18.8,1.6,1.1%,2024
95,DeeJay Dallas (CAR),9,49,5.4,22,1,0,3,3,11,3.7,1,0,16,18.0,1.1,0.0%,2024
96,Craig Reynolds (DET),31,139,4.5,19,0,0,3,5,40,13.3,0,0,14,17.9,1.3,0.6%,2024
97,Carson Steele (KC),56,183,3.3,9,0,0,7,11,26,3.7,0,2,16,16.9,1.1,0.6%,2024
98,Alec Ingold (MIA),10,17,1.7,6,0,1,11,12,96,8.7,0,1,15,15.3,1.0,0.6%,2024
99,Hunter Luepke (DAL),12,38,3.2,10,0,0,12,16,111,9.3,0,0,16,14.9,0.9,0.6%,2024
100,Patrick Ricard (BAL),0,0,0,0,0,0,3,5,22,7.3,1,0,17,14.2,0.8,0.8%,2024
101,Jordan Mims (TEN),20,70,3.5,9,0,0,12,18,71,5.9,0,0,8,14.1,1.8,0.0%,2024
102,Ronnie Rivers (LAR),22,99,4.5,12,0,0,5,6,34,6.8,0,0,7,13.3,1.9,1.1%,2024
103,Will Shipley (PHI),30,82,2.7,9,0,0,4,4,35,8.8,0,0,13,11.7,0.9,15.0%,2024
104,Tony Jones Jr. (FA),4,55,13.8,46,1,1,0,0,0,0,0,0,1,11.5,11.5,0.0%,2024
105,Julius Chestnut (TEN),22,102,4.6,12,0,0,2,3,11,5.5,0,0,14,11.3,0.8,1.2%,2024
106,Deuce Vaughn (FA),17,70,4.1,12,0,0,3,5,18,6.0,0,0,6,8.8,1.5,0.6%,2024
107,C.J. Ham (MIN),2,10,5.0,8,0,1,5,6,35,7.0,0,1,17,8.5,0.5,0.6%,2024
