,PLAYER,FPTS/G,FPTS/G 22,FPTS 22
98,Kyle Juszczyk (SF) ,2.9,4.236163811487897,72.01
99,Dare Ogunbowale (HOU) ,2.9,4.236163811487897,72.01
100,J.J. Taylor (NE) ,2.9,4.236163811487897,72.01
101,Carlos Hyde (FA) ,2.8,4.157957301211598,70.69
102,Eno Benjamin (ARI) ,2.8,4.157957301211598,70.69
103,Qadree Ollison (ATL) ,2.6,4.001544280658997,68.03
104,Jerick McKinnon (KC) ,2.5,3.9233377703826973,66.7
105,JaMycal Hasty (SF) ,2.4,3.845131260106397,65.37
106,Johnny Stanton (CLE) ,2.4,3.845131260106397,65.37
107,Salvon Ahmed (MIA) ,2.4,3.845131260106397,65.37
108,Wendell Smallwood (FA) ,2.4,3.845131260106397,65.37
109,DeeJay Dallas (SEA) ,2.3,3.766924749830097,64.04
110,Demetric Felton Jr. (CLE) ,2.2,3.688718239553797,62.71
111,Kene Nwangwu (MIN) ,2.1,3.610511729277497,61.38
112,Elijhaa Penny (FA) ,2.1,3.610511729277497,61.38
113,Corey Clement (FA) ,2.1,3.610511729277497,61.38
114,Royce Freeman (HOU) ,2.1,3.610511729277497,61.38
115,Alec Ingold (MIA) ,2.1,3.610511729277497,61.38
116,Nick Bawden (NYJ) ,2.0,3.5323052190011968,60.05
117,Raheem Mostert (MIA) ,2.0,3.5323052190011968,60.05
118,Mike Boone (DEN) ,1.9,3.4540987087248967,58.72
119,Marlon Mack (HOU) ,1.8,3.3758921984485966,57.39
120,Deon Jackson (IND) ,1.8,3.3758921984485966,57.39
121,Tony Jones Jr. (NO) ,1.7,3.2976856881722965,56.06
122,Reggie Bonnafon (WAS) ,1.6,3.2194791778959964,54.73
123,La'Mical Perine (NYJ) ,1.6,3.2194791778959964,54.73
124,Patrick Ricard (BAL) ,1.6,3.2194791778959964,54.73
125,Larry Rountree III (LAC) ,1.5,3.1412726676196963,53.4
126,Trey Ragas (FA) ,1.5,3.1412726676196963,53.4
127,Joshua Kelley (LAC) ,1.5,3.1412726676196963,53.4
128,Andy Janovich (HOU) ,1.5,3.1412726676196963,53.4
129,Wayne Gallman Jr. (FA) ,1.4,3.063066157343396,52.07
130,Trayveon Williams (CIN) ,1.4,3.063066157343396,52.07
131,John Kelly (CLE) ,1.3,2.9848596470670965,50.74
132,Michael Burton (KC) ,1.2,2.9066531367907964,49.41
133,Jalen Richard (FA) ,1.2,2.9066531367907964,49.41
134,Jacques Patrick (FA) ,1.2,2.9066531367907964,49.41
135,C.J. Ham (MIN) ,1.1,2.8284466265144963,48.08
136,Ty Montgomery (NE) ,1.0,2.750240116238196,46.75
137,Darrynton Evans (CHI) ,0.9,2.672033605961896,45.42
138,Godwin Igwebuike (DET) ,0.9,2.672033605961896,45.42
139,Alex Armah Jr. (WAS) ,0.8,2.593827095685596,44.1
140,Jaylen Samuels (FA) ,0.8,2.593827095685596,44.1
141,Benny Snell Jr. (PIT) ,0.7,2.515620585409296,42.77
142,Keith Smith (ATL) ,0.7,2.515620585409296,42.77
143,Jonathan Ward (ARI) ,0.7,2.515620585409296,42.77
144,Patrick Laird (FA) ,0.7,2.515620585409296,42.77
145,Scottie Phillips (FA) ,0.7,2.515620585409296,42.77
146,Damarea Crockett (DEN) ,0.7,2.515620585409296,42.77
147,Cam Akers (LAR) ,0.7,2.515620585409296,42.77
148,Jakob Johnson (LV) ,0.6,2.437414075132996,41.44
149,Anthony McFarland Jr. (PIT) ,0.5,2.359207564856696,40.11
150,Kalen Ballage (FA) ,0.5,2.359207564856696,40.11
151,Kylin Hill (GB) ,0.4,2.281001054580396,38.78
152,Gabe Nabers (LAC) ,0.4,2.281001054580396,38.78
153,Dwayne Washington (NO) ,0.4,2.281001054580396,38.78
154,Adam Prentice (NO) ,0.4,2.281001054580396,38.78
155,Reggie Gilliam (BUF) ,0.3,2.202794544304096,37.45
156,Devine Ozigbo (NO) ,0.2,2.124588034027796,36.12
157,Mekhi Sargent (JAC) ,0.2,2.124588034027796,36.12
158,Buddy Howell (LAR) ,0.2,2.124588034027796,36.12
159,Ryan Nall (DAL) ,0.2,2.124588034027796,36.12
160,Gary Brightwell (NYG) ,0.1,2.0463815237514957,34.79
161,Derek Watt (PIT) ,0.1,2.0463815237514957,34.79
162,Jake Funk (LAR) ,0.1,2.0463815237514957,34.79
163,Nathan Cottrell (JAC) ,0.1,2.0463815237514957,34.79
164,Elijah Holyfield (CIN) ,0.0,1.9681750134751956,33.46
165,CJ Verdell (IND) ,0.0,1.9681750134751956,33.46
166,Kennedy Brooks (PHI) ,0.0,1.9681750134751956,33.46
167,Sandro Platzgummer (NYG) ,0.0,1.9681750134751956,33.46
168,Brian Robinson Jr. (WAS) ,0.0,1.9681750134751956,33.46
169,Zamir White (LV) ,0.0,1.9681750134751956,33.46
170,Trevon Wesco (NYJ) ,0.0,1.9681750134751956,33.46
171,Mike Weber (NYG) ,0.0,1.9681750134751956,33.46
172,Darwin Thompson (SEA) ,0.0,1.9681750134751956,33.46
173,Sutton Smith (FA) ,0.0,1.9681750134751956,33.46
174,Cullen Gillaspia (FA) ,0.0,1.9681750134751956,33.46
175,Andrew Beck (DEN) ,0.0,1.9681750134751956,33.46
176,John Lovett (MIA) ,0.0,1.9681750134751956,33.46
177,Travis Etienne Jr. (JAC) ,0.0,1.9681750134751956,33.46
178,Justice Hill (BAL) ,0.0,1.9681750134751956,33.46
179,Rico Dowdle (DAL) ,0.0,1.9681750134751956,33.46
180,Sewo Olonilua (FA) ,0.0,1.9681750134751956,33.46
181,Giovanni Ricci (CAR) ,0.0,1.9681750134751956,33.46
182,Antonio Williams (NYG) ,0.0,1.9681750134751956,33.46
183,Jake Bargas (MIN) ,0.0,1.9681750134751956,33.46
184,Josh Hokit (SF) ,0.0,1.9681750134751956,33.46
185,Pooka Williams Jr. (CIN) ,0.0,1.9681750134751956,33.46
186,Aaron Shampklin (DAL) ,0.0,1.9681750134751956,33.46
187,J.K. Dobbins (BAL) ,0.0,1.9681750134751956,33.46
188,LeVante Bellamy (FA) ,0.0,1.9681750134751956,33.46
189,Caleb Huntley (ATL) ,0.0,1.9681750134751956,33.46
190,Artavis Pierce (FA) ,0.0,1.9681750134751956,33.46
191,Raheem Blackshear (BUF) ,0.0,1.9681750134751956,33.46
192,Brittain Brown (LV) ,0.0,1.9681750134751956,33.46
193,Darius Bradwell (CAR) ,0.0,1.9681750134751956,33.46
194,Darius Anderson (HOU) ,0.0,1.9681750134751956,33.46
195,Gerrid Doaks (MIA) ,0.0,1.9681750134751956,33.46
196,Avery Williams (ATL) ,0.0,1.9681750134751956,33.46
197,Spencer Brown (CAR) ,0.0,1.9681750134751956,33.46
198,Tory Carter (TEN) ,0.0,1.9681750134751956,33.46
199,Sincere McCormick (LV) ,0.0,1.9681750134751956,33.46
200,Keaontay Ingram (ARI) ,0.0,1.9681750134751956,33.46
201,A.J. Rose Jr. (LAR) ,0.0,1.9681750134751956,33.46
202,Josh Johnson (SEA) ,0.0,1.9681750134751956,33.46
203,B.J. Emmons (FA) ,0.0,1.9681750134751956,33.46
204,Nick Ralston (DAL) ,0.0,1.9681750134751956,33.46
205,Isaiah Spiller (LAC) ,0.0,1.9681750134751956,33.46
206,Jerrion Ealy (KC) ,0.0,1.9681750134751956,33.46
207,Kyren Williams (LAR) ,0.0,1.9681750134751956,33.46
208,Zonovan Knight (NYJ) ,0.0,1.9681750134751956,33.46
209,Ricky Person Jr. (BAL) ,0.0,1.9681750134751956,33.46
