RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
56,Adam Thielen (MIN) ,30,48,418,13.9,44,8,6,4,6,1,0,10,84.4,8.4,97.40%
57,T.Y. Hilton (IND) ,45,68,501,11.1,35,6,5,0,0,0,0,10,80.1,8,60.50%
58,Kenny Stills (HOU) ,40,55,561,14,45,9,4,0,0,0,0,13,80.1,6.2,0.60%
59,Alshon Jeffery (PHI) ,43,73,490,11.4,38,6,4,1,2,1,0,10,79.2,7.9,0.70%
60,Danny Amendola (DET) ,62,97,678,10.9,47,6,1,0,0,0,0,15,78.6,5.2,0.60%
61,Steven Sims Jr. (WAS) ,34,56,310,9.1,65,2,4,9,85,1,0,16,75.5,4.7,0.70%
62,Anthony Miller (CHI) ,52,85,656,12.6,35,11,2,1,-1,0,1,16,75.5,4.7,2.70%
63,Brandin Cooks (LAR) ,42,72,583,13.9,57,9,2,6,52,0,0,14,75.5,5.4,86.50%
64,Corey Davis (TEN) ,43,69,601,14,38,10,2,0,0,0,0,15,72.1,4.8,69.60%
65,Phillip Dorsett II (NE) ,29,54,397,13.7,58,6,5,3,21,0,0,14,71.8,5.1,0.30%
66,JuJu Smith-Schuster (PIT) ,42,70,552,13.1,76,7,3,0,0,0,1,12,71.2,5.9,92.50%
67,Demarcus Robinson (KC) ,32,55,449,14,44,7,4,0,0,0,0,16,68.9,4.3,2.00%
68,Kendrick Bourne (SF) ,30,44,358,11.9,30,4,5,0,0,0,0,16,67.8,4.2,2.80%
69,Allen Lazard (GB) ,35,52,477,13.6,43,6,3,1,21,0,0,16,67.8,4.2,12.10%
70,John Ross (CIN) ,28,56,506,18.1,66,10,3,3,4,0,1,8,67,8.4,0.90%
71,Mohamed Sanu (NE) ,59,89,520,8.8,28,3,2,3,11,0,0,15,65.1,4.3,0.20%
72,Willie Snead IV (BAL) ,31,46,339,10.9,50,4,5,2,2,0,0,16,64.1,4,0.70%
73,Auden Tate (CIN) ,40,80,575,14.4,33,8,1,0,0,0,1,13,61.5,4.7,0.50%
74,Taylor Gabriel (CHI) ,29,48,353,12.2,53,4,4,3,20,0,0,9,61.3,6.8,0.10%
75,Preston Williams (MIA) ,32,60,428,13.4,35,6,3,0,0,0,1,8,58.8,7.4,3.30%
76,Marquez Valdes-Scantling (GB) ,26,56,452,17.4,74,7,2,2,9,0,0,16,58.1,3.6,7.10%
77,Tajae Sharpe (TEN) ,25,35,329,13.2,47,4,4,0,0,0,0,15,56.9,3.8,0.10%
78,Ted Ginn Jr. (NO) ,30,56,421,14,45,7,2,3,18,0,0,16,55.9,3.5,0.10%
79,Nelson Agholor (PHI) ,39,69,363,9.3,43,5,3,2,7,0,1,11,55,5,40.40%
80,Keelan Cole Sr. (JAC) ,24,36,361,15,55,5,3,1,6,0,0,16,54.7,3.4,2.60%
81,Tre'Quan Smith (NO) ,18,25,234,13,32,3,5,0,0,0,0,11,53.4,4.9,4.80%
82,Alex Erickson (CIN) ,43,78,529,12.3,52,5,0,5,33,0,2,16,53.2,3.3,0.10%
83,Allen Hurns (MIA) ,32,47,416,13,27,4,2,0,0,0,1,14,51.6,3.7,0.10%
84,Russell Gage (ATL) ,49,74,446,9.1,19,0,1,4,12,0,1,16,49.8,3.1,23.40%
85,Adam Humphries (TEN) ,37,47,374,10.1,30,4,2,1,1,0,0,12,49.5,4.1,1.10%
86,Demaryius Thomas (NYJ) ,36,58,433,12,47,4,1,0,0,0,0,11,49.3,4.5,0.10%
87,Olabisi Johnson (MIN) ,31,45,294,9.5,23,1,3,1,6,0,0,16,48,3,0.10%
88,Josh Gordon (SEA) ,27,47,426,15.8,58,8,1,1,1,0,0,11,47.7,4.3,2.80%
89,Albert Wilson (MIA) ,43,62,351,8.2,35,4,1,5,45,0,0,13,46.4,3.6,0.20%
90,David Moore (SEA) ,17,34,301,17.7,60,5,2,3,25,0,1,15,42.6,2.8,1.40%
91,Cody Latimer (NYG) ,24,42,300,12.5,43,4,2,0,0,0,0,15,42,2.8,0.00%
92,Geronimo Allison (GB) ,34,55,287,8.4,31,3,2,1,7,0,1,16,41.4,2.6,0.10%
93,Josh Reynolds (LAR) ,21,43,326,15.5,31,8,1,5,23,0,0,16,40.9,2.6,6.40%
94,Damiere Byrd (ARI) ,32,46,359,11.2,58,3,1,0,0,0,1,11,39.9,3.6,0.70%
95,Marcus Johnson (IND) ,17,33,277,16.3,50,3,2,0,0,0,0,9,39.7,4.4,0.10%
96,Seth Roberts (BAL) ,21,35,271,12.9,33,3,2,0,0,0,0,16,39.1,2.4,0.00%
97,Miles Boykin (BAL) ,13,22,198,15.2,50,2,3,0,0,0,0,16,37.8,2.4,1.30%
98,Kelvin Harmon (WAS) ,30,44,365,12.2,30,8,0,0,0,0,0,16,36.9,2.3,0.10%
99,Paul Richardson Jr. (WAS) ,28,42,245,8.8,22,1,2,1,0,0,0,10,36.5,3.7,0.00%
100,Isaiah McKenzie (BUF) ,27,39,254,9.4,46,3,1,8,49,0,0,15,36.3,2.4,0.30%
101,Jakobi Meyers (NE) ,26,41,359,13.8,35,9,0,0,0,0,0,15,35.9,2.4,7.00%
102,DaeSean Hamilton (DEN) ,28,52,297,10.6,28,4,1,0,0,0,0,16,35.7,2.2,0.10%
103,Tavon Austin (BAL) ,13,24,177,13.6,59,2,1,6,47,1,0,14,34.4,2.5,0.00%
104,Marvin Hall (DET) ,7,11,261,37.3,58,6,1,1,7,0,0,9,32.8,3.6,0.00%
105,Jaron Brown (SEA) ,16,28,220,13.8,48,3,2,0,0,0,1,14,32,2.3,0.00%
106,Greg Ward (PHI) ,28,40,254,9.1,38,1,1,1,5,0,0,7,31.9,4.6,1.40%
107,Vyncint Smith (NYJ) ,17,31,225,13.2,37,4,0,3,52,1,1,14,31.7,2.3,0.00%
108,Keke Coutee (HOU) ,22,36,254,11.5,51,4,0,2,14,1,1,10,30.8,3.1,2.00%
109,Malik Turner (SEA) ,15,22,245,16.3,33,6,1,0,0,0,0,15,30.5,2,0.00%
110,Pharoh Cooper (JAC) ,25,33,243,9.7,28,4,1,1,2,0,0,13,30.5,2.3,0.00%
111,Chester Rogers (IND) ,16,28,179,11.2,27,2,2,1,18,0,1,12,29.7,2.5,0.00%
112,Jarius Wright (FA) ,28,58,296,10.6,33,3,0,1,-7,0,0,16,28.9,1.8,0.00%
113,Justin Watson (TB) ,15,26,159,10.6,17,0,2,0,0,0,0,16,27.9,1.7,0.10%
114,Jake Kumerow (BUF) ,12,21,219,18.3,49,3,1,0,0,0,0,14,27.9,2,0.10%
115,DeSean Jackson (PHI) ,9,10,159,17.7,53,2,2,0,0,0,0,3,27.9,9.3,4.40%
116,Scotty Miller (TB) ,13,26,200,15.4,48,3,1,2,16,0,0,10,27.6,2.8,2.20%
117,N'Keal Harry (NE) ,12,24,105,8.8,18,0,2,5,49,0,0,7,27.4,3.9,3.30%
118,Jakeem Grant Sr. (MIA) ,19,33,164,8.6,18,0,0,4,5,1,1,10,26.9,2.7,0.70%
119,Andy Isabella (ARI) ,9,13,189,21,88,2,1,4,15,0,0,15,26.4,1.8,1.20%
