RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
50,Logan Thomas (DET) ,16,28,173,10.8,17,0,1,0,0,0,0,16,23.3,1.5,31.3,1.96,91.30%
51,Rhett Ellison (FA) ,18,28,167,9.3,31,3,1,0,0,0,0,10,22.7,2.3,31.7,3.17,0.00%
52,Marcedes Lewis (GB) ,15,19,156,10.4,25,2,1,0,0,0,0,16,21.6,1.4,29.1,1.82,0.20%
53,Ross Dwelley (SF) ,15,22,91,6.1,25,1,2,0,0,0,0,16,21.1,1.3,28.6,1.79,0.10%
54,Jaeden Graham (ATL) ,9,10,149,16.6,53,3,1,0,0,0,0,16,20.9,1.3,25.4,1.59,0.10%
55,Ian Thomas (CAR) ,16,30,136,8.5,19,0,1,0,0,0,0,16,19.6,1.2,27.6,1.73,0.70%
56,Derek Carrier (LV) ,13,19,108,8.3,25,2,1,1,27,0,0,16,19.5,1.2,26,1.63,0.00%
57,Matt LaCosse (NE) ,13,19,131,10.1,24,3,1,0,0,0,0,12,19.1,1.6,25.6,2.13,0.00%
58,Vernon Davis (FA) ,10,19,123,12.3,48,1,1,0,0,0,0,4,18.3,4.6,23.3,5.83,1.60%
59,Ryan Izzo (HOU) ,6,9,114,19,41,3,1,0,0,0,0,6,17.4,2.9,20.4,3.4,0.00%
60,Jeff Heuerman (FA) ,14,20,114,8.1,26,1,1,0,0,0,0,14,17.4,1.2,24.4,1.74,0.00%
61,Benjamin Watson (FA) ,17,24,173,10.2,26,3,0,0,0,0,0,10,17.3,1.7,25.8,2.58,2.80%
62,Nick O'Leary (LV) ,13,18,109,8.4,19,0,1,0,0,0,0,12,16.9,1.4,23.4,1.95,0.00%
63,Nick Vannett (NO) ,17,22,166,9.8,18,0,0,0,0,0,0,16,16.6,1,25.1,1.57,0.10%
64,Hale Hentges (FA) ,8,14,103,12.9,24,2,1,0,0,0,0,11,16.3,1.5,20.3,1.85,0.00%
65,Robert Tonyan (GB) ,10,15,100,10,28,2,1,0,0,0,0,11,16,1.5,21,1.91,89.70%
66,Andrew Beck (DEN) ,9,12,90,10,29,1,1,1,3,0,0,16,15.5,1,20,1.25,0.00%
67,MyCole Pruitt (SF) ,6,8,90,15,42,2,1,0,0,0,0,16,15,0.9,18,1.13,0.00%
68,Josh Perkins (FA) ,9,13,87,9.7,24,1,1,0,0,0,0,5,14.7,2.9,19.2,3.84,0.00%
69,Jesse James (FA) ,16,27,142,8.9,23,1,0,0,0,0,0,16,14.2,0.9,22.2,1.39,0.00%
70,Seth DeValve (ARI) ,12,18,140,11.7,20,1,0,0,0,0,0,12,14,1.2,20,1.67,0.00%
71,Virgil Green (LAC) ,9,13,78,8.7,15,0,1,0,0,0,0,15,13.8,0.9,18.3,1.22,0.00%
72,Daniel Brown (NYJ) ,7,11,72,10.3,24,2,1,0,0,0,0,16,13.2,0.8,16.7,1.04,0.00%
73,Tyler Kroft (NYJ) ,6,14,71,11.8,20,1,1,0,0,0,0,12,13.1,1.1,16.1,1.34,0.10%
74,Jesper Horsted (CHI) ,8,10,87,10.9,20,1,1,0,0,0,1,6,12.7,2.1,16.7,2.78,0.00%
75,Ben Braunecker (FA) ,6,11,59,9.8,18,0,1,0,0,0,0,11,11.9,1.1,14.9,1.35,0.00%
76,Tommy Sweeney (BUF) ,8,13,114,14.3,29,3,0,0,0,0,0,6,11.4,1.9,15.4,2.57,0.10%
77,Stephen Carlson (CLE) ,5,7,51,10.2,21,1,1,0,0,0,0,9,11.1,1.2,13.6,1.51,0.00%
78,David Njoku (CLE) ,5,10,41,8.2,18,0,1,0,0,0,0,4,10.1,2.5,12.6,3.15,2.20%
79,Troy Fumagalli (NE) ,6,9,38,6.3,9,0,1,0,0,0,0,11,9.8,0.9,12.8,1.16,0.00%
