RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
223,Hunter Kampmoyer (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
224,Carl Tucker (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
225,Zach Davidson (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
226,John Raine (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
227,Shaun Beyer (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
228,Landon Rice (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
229,Bernhard Seikovits (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
230,Nick Guggemos (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
231,Jibri Blount (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
232,Shane Zylstra (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
233,Jake Hausmann (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
234,Farrod Green (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
235,Nick Bowers (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
236,Jake Bargas (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
237,Brevin Jordan (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.40%
238,Pat Freiermuth (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,4.90%
239,Kyle Pitts (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,94.20%
240,Logan Paulsen (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
241,Bruce Miller (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
242,Daniel Hardy (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
243,Jermaine Gresham (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
244,Tim Tebow (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,5.90%
245,Ed Dickson (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
246,Rob Gronkowski (TB) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80.50%
247,James Dearth (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
248,Marquez Branson (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
249,John Nalbone (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
250,Garrett Celek (FA) ,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.00%
251,Jordan Reed (SF) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.60%
252,Dion Sims (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
253,Dominique Curry (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
254,Drake Dunsmore (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
255,Deangelo Peterson (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
256,Derek Fine (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
257,Darnell Dinkins (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
258,J.P. Foschi (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
259,Brad Cottam (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
260,Antonio Gates (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.20%
261,Clark Harris (CIN) ,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.00%
262,Buck Ortega (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
263,Jake Nordin (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
264,Joey Haynos (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
265,Justin Snow (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
266,Keith Zinger (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
267,Evan Baylis (KC) ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.00%
268,Beau Brinkley (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.20%
269,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.00%
270,Tyler Ott (SEA) ,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.00%
271,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.00%
272,Kevin McDermott (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
273,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
274,Stephen Anderson (LAC) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.10%
275,Jerell Adams (TB) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
276,David Grinnage (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
277,Brian Parker (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
278,David Morgan II (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
279,Mason Schreck (CIN) ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00%
280,Jason Vander Laan (FA) ,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
281,Jake Butt (CHI) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.20%
282,Cole Hikutini (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
283,Bug Howard (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
284,Jason Croom (PHI) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
285,Garrett Griffin (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
286,Temarrick Hemingway (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
287,Alex Ellis (LV) ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00%
288,Cole Wick (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
289,Alan Cross (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
290,Erik Swoope (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
291,Richard Rodgers (PHI) ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.10%
292,Kelvin Benjamin (NYG) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.10%
293,Jerome Cunningham (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00%
294,Kyle Nelson (FA) ,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0.00%
295,Matt Lengel (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
296,Neal Sterling (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
297,Khari Lee (DET) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
298,Matt Seybert (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
