RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
18,Javonte Williams (DEN) ,203,903,4.4,49,0,4,43,53,316,7.3,3,1,17,161.9,9.5,99.5%
19,Devin Singletary (BUF) ,188,870,4.6,46,0,7,40,50,228,5.7,1,0,17,157.8,9.3,92.0%
20,David Montgomery (CHI) ,225,849,3.8,41,0,7,42,51,301,7.2,0,1,14,154.0,11.0,98.0%
21,AJ Dillon (GB) ,187,803,4.3,36,0,5,34,37,313,9.2,2,1,17,151.6,8.9,91.8%
22,Darrel Williams (ARI) ,144,558,3.9,21,0,6,47,57,452,9.6,2,0,17,149.0,8.8,22.4%
23,D'Andre Swift (DET) ,151,617,4.1,57,0,5,62,78,452,7.3,2,1,13,146.9,11.3,99.8%
24,Elijah Mitchell (SF) ,207,963,4.7,39,0,5,19,20,137,7.2,1,0,12,146.0,12.2,94.5%
25,James Robinson (JAC) ,164,767,4.7,58,0,8,31,46,222,7.2,0,2,14,142.9,10.2,76.7%
26,Darrell Henderson Jr. (LAR) ,149,688,4.6,29,0,5,29,40,176,6.1,3,0,12,134.4,11.2,43.4%
27,Sony Michel (MIA) ,208,845,4.1,39,0,4,21,33,128,6.1,1,1,17,125.3,7.4,17.9%
28,Myles Gaskin (MIA) ,173,612,3.5,30,0,3,49,63,234,4.8,4,1,17,124.6,7.3,6.8%
29,Tony Pollard (DAL) ,130,719,5.5,58,0,2,39,46,337,8.6,0,0,15,123.6,8.2,90.2%
30,Michael Carter (NYJ) ,147,639,4.3,55,0,4,36,55,325,9.0,0,1,14,118.4,8.5,85.3%
31,Rashaad Penny (SEA) ,119,749,6.3,62,0,6,6,8,48,8.0,0,0,10,115.7,11.6,89.1%
32,Chuba Hubbard (CAR) ,172,612,3.6,26,0,5,25,37,174,7.0,1,1,16,112.6,7.0,8.6%
33,Devonta Freeman (FA) ,133,576,4.3,32,0,5,34,42,190,5.6,1,0,16,112.6,7.0,0.7%
34,Saquon Barkley (NYG) ,162,593,3.7,41,0,2,41,57,263,6.4,2,1,14,107.6,7.7,98.8%
35,Devontae Booker (FA) ,145,593,4.1,31,0,2,40,45,268,6.7,1,0,16,104.1,6.5,0.7%
36,Rhamondre Stevenson (NE) ,133,606,4.6,21,0,5,14,18,123,8.8,0,1,12,100.9,8.4,83.1%
37,Chase Edmonds (MIA) ,116,592,5.1,54,0,2,43,53,311,7.2,0,1,12,100.3,8.4,88.0%
38,Clyde Edwards-Helaire (KC) ,119,517,4.3,17,0,4,19,23,118,6.2,2,2,10,97.5,9.8,92.5%
39,Mike Davis (BAL) ,138,503,3.6,18,0,3,44,58,259,5.9,1,3,17,94.2,5.5,2.6%
40,Alexander Mattison (MIN) ,134,491,3.7,48,0,3,32,39,228,7.1,1,1,16,93.9,5.9,55.6%
41,Jamaal Williams (DET) ,153,601,3.9,20,0,3,26,28,157,6.0,0,0,13,93.8,7.2,26.7%
42,Latavius Murray (FA) ,119,501,4.2,46,0,6,10,13,75,7.5,0,0,14,93.6,6.7,0.7%
43,Miles Sanders (PHI) ,137,754,5.5,38,0,0,26,34,158,6.1,0,1,12,91.2,7.6,92.8%
44,Christian McCaffrey (CAR) ,99,442,4.5,18,0,1,37,41,343,9.3,1,0,7,90.5,12.9,99.9%
45,Kenneth Gainwell (PHI) ,68,291,4.3,18,0,5,33,50,253,7.7,1,1,16,90.4,5.7,21.8%
46,Kareem Hunt (CLE) ,78,386,4.9,33,0,5,22,27,174,7.9,0,0,8,88.0,11.0,91.3%
47,Boston Scott (PHI) ,87,373,4.3,23,0,7,13,16,83,6.4,0,1,11,85.6,7.8,2.7%
48,D'Ernest Johnson (CLE) ,100,534,5.3,30,0,3,19,25,137,7.2,0,0,13,85.1,6.5,3.7%
49,D'Onta Foreman (CAR) ,133,566,4.3,35,0,3,9,11,123,13.7,0,1,9,84.9,9.4,12.0%
50,J.D. McKissic (WAS) ,48,212,4.4,15,0,2,43,53,397,9.2,2,0,11,84.9,7.7,45.7%
51,Brandon Bolden (LV) ,44,226,5.1,24,0,1,41,49,405,9.9,2,0,16,83.1,5.2,0.6%
52,Ty Johnson (NYJ) ,61,238,3.9,24,0,2,34,55,372,10.9,2,1,15,83.0,5.5,1.3%
53,Zack Moss (BUF) ,96,345,3.6,17,0,4,23,32,197,8.6,1,1,13,82.2,6.3,3.1%
54,Mark Ingram II (NO) ,160,554,3.5,28,0,2,27,35,162,6.0,0,1,14,81.6,5.8,23.0%
55,Rex Burkhead (HOU) ,122,427,3.5,36,0,3,25,32,186,7.4,0,0,15,79.3,5.3,3.4%
56,Nyheim Hines (IND) ,56,276,4.9,34,0,2,40,57,310,7.8,1,2,17,72.6,4.3,55.7%
57,Kenyan Drake (LV) ,63,254,4.0,21,0,2,30,40,291,9.7,1,0,12,72.5,6.0,6.1%
58,Ronald Jones II (KC) ,101,428,4.2,30,0,4,10,13,64,6.4,0,2,15,69.2,4.6,74.0%
59,Khalil Herbert (CHI) ,103,433,4.2,29,0,2,14,16,96,6.9,0,0,16,64.9,4.1,15.3%
60,Justin Jackson (FA) ,68,364,5.4,75,0,2,22,25,178,8.1,0,1,14,64.2,4.6,1.2%
61,Jordan Howard (FA) ,86,406,4.7,25,0,3,2,5,19,9.5,0,0,7,60.5,8.6,0.6%
62,Alex Collins (FA) ,108,411,3.8,25,0,2,9,10,87,9.7,0,1,11,59.8,5.4,9.6%
63,Samaje Perine (CIN) ,55,246,4.5,46,0,1,27,31,196,7.3,1,0,15,56.2,3.7,3.4%
64,Duke Johnson Jr. (BUF) ,71,330,4.6,27,0,3,4,5,41,10.3,0,0,5,55.1,11.0,0.9%
65,Dontrell Hilliard (TEN) ,56,350,6.3,68,0,2,19,26,87,4.6,0,1,8,53.7,6.7,2.3%
66,Ameer Abdullah (LV) ,51,166,3.3,15,0,0,38,53,289,7.6,1,0,17,51.5,3.0,0.8%
67,David Johnson (FA) ,67,228,3.4,15,0,0,32,42,225,7.0,1,1,13,49.3,3.8,1.2%
68,Derrick Gore (KC) ,51,256,5.0,51,0,2,8,9,105,13.1,0,0,8,48.1,6.0,0.7%
69,Jaret Patterson (WAS) ,68,266,3.9,13,0,2,10,12,73,7.3,0,0,14,45.9,3.3,0.7%
70,Travis Homer (SEA) ,21,177,8.4,73,0,1,16,20,161,10.1,0,0,14,45.8,3.3,0.1%
71,Jeremy McNichols (FA) ,41,156,3.8,14,0,0,28,38,240,8.6,1,0,13,45.6,3.5,0.1%
72,Damien Williams (ATL) ,40,164,4.1,23,0,2,16,23,103,6.4,1,0,12,44.7,3.7,2.0%
73,Jeff Wilson Jr. (SF) ,79,294,3.7,17,0,2,7,8,31,4.4,0,0,9,44.5,4.9,2.0%
74,Kyle Juszczyk (SF) ,8,22,2.8,6,0,1,30,38,296,9.9,1,0,15,43.8,2.9,0.8%
75,Chris Carson (SEA) ,54,232,4.3,33,0,3,6,6,29,4.8,0,1,4,42.1,10.5,11.3%
76,Phillip Lindsay (IND) ,88,249,2.8,35,0,1,4,5,45,11.3,1,0,14,41.4,3.0,1.3%
77,Tevin Coleman (NYJ) ,84,356,4.2,20,0,0,11,16,49,4.5,0,0,11,40.5,3.7,0.7%
78,Peyton Barber (FA) ,55,212,3.9,27,0,2,10,13,67,6.7,0,0,10,39.9,4.0,0.6%
79,DeeJay Dallas (SEA) ,33,138,4.2,15,0,2,21,23,133,6.3,0,0,17,39.1,2.3,0.8%
80,Dare Ogunbowale (HOU) ,43,137,3.2,12,0,1,13,21,114,8.8,1,0,13,37.1,2.9,0.3%
81,Giovani Bernard (TB) ,8,58,7.3,24,0,0,23,29,123,5.3,3,0,10,36.1,3.6,0.9%
82,Matt Breida (NYG) ,26,125,4.8,28,0,1,7,9,72,10.3,2,1,7,35.7,5.1,1.7%
83,Chris Evans (CIN) ,17,77,4.5,13,0,0,15,17,151,10.1,2,0,9,34.8,3.9,1.6%
84,Carlos Hyde (FA) ,72,253,3.5,18,0,1,12,22,65,5.4,0,2,12,33.8,2.8,0.2%
85,Le'Veon Bell (FA) ,39,101,2.6,12,0,2,5,7,30,6.0,1,0,8,33.1,4.1,0.2%
86,Ty'Son Williams (IND) ,35,185,5.3,35,0,1,9,12,84,9.3,0,0,8,32.9,4.1,0.1%
87,Ke'Shawn Vaughn (TB) ,36,180,5.0,55,0,2,4,8,26,6.5,0,0,6,32.6,5.4,1.9%
88,Demetric Felton Jr. (CLE) ,7,24,3.4,12,0,0,18,21,181,10.1,2,0,15,32.5,2.2,0.2%
89,Craig Reynolds (DET) ,55,230,4.2,35,0,0,7,8,52,7.4,0,0,5,28.2,5.6,0.8%
90,Elijhaa Penny (FA) ,24,99,4.1,12,0,1,9,13,30,3.3,1,0,13,26.9,2.1,0.0%
91,Salvon Ahmed (MIA) ,54,149,2.8,16,0,0,12,19,117,9.8,0,0,11,26.6,2.4,0.6%
92,JaMycal Hasty (SF) ,16,68,4.3,21,0,1,23,29,157,6.8,0,1,11,26.5,2.4,0.7%
93,Trey Sermon (SF) ,41,167,4.1,16,0,1,3,4,26,8.7,0,0,6,25.3,4.2,5.2%
94,Royce Freeman (HOU) ,56,169,3.0,13,0,0,10,16,77,7.7,0,0,12,24.6,2.1,0.2%
95,Corey Clement (FA) ,33,140,4.2,38,0,0,6,7,29,4.8,1,0,11,22.9,2.1,1.0%
96,Jerick McKinnon (KC) ,12,62,5.2,18,0,0,13,20,107,8.2,1,0,9,22.9,2.5,2.9%
97,Adrian Peterson (FA) ,38,98,2.6,16,0,2,4,4,8,2.0,0,0,4,22.6,5.7,2.1%
98,Eno Benjamin (ARI) ,34,118,3.5,21,0,1,6,7,42,7.0,0,0,8,22.0,2.8,2.0%
99,Jermar Jefferson (DET) ,15,74,4.9,28,0,2,4,5,23,5.8,0,0,5,21.7,4.3,0.7%
100,Malcolm Brown (FA) ,33,125,3.8,24,0,1,3,5,10,3.3,0,0,6,19.5,3.3,0.1%
101,James White (NE) ,10,38,3.8,10,0,1,12,14,94,7.8,0,0,3,19.2,6.4,9.5%
102,Kene Nwangwu (MIN) ,13,61,4.7,19,0,0,4,5,9,2.3,0,0,9,19.0,2.1,1.3%
103,Tony Jones Jr. (NO) ,54,142,2.6,11,0,0,5,8,29,5.8,0,0,10,17.1,1.7,0.8%
104,Austin Walter (FA) ,26,101,3.9,14,0,1,2,3,9,4.5,0,0,4,17.0,4.3,0.1%
105,Jonathan Williams (WAS) ,17,79,4.6,23,0,1,4,6,28,7.0,0,0,5,16.7,3.3,0.0%
106,C.J. Ham (MIN) ,7,34,4.9,30,0,0,17,18,125,7.4,0,0,15,15.9,1.1,0.1%
107,Qadree Ollison (ATL) ,21,105,5.0,19,0,1,4,6,12,3.0,0,1,6,15.7,2.6,0.1%
108,Patrick Taylor Jr. (GB) ,23,89,3.9,12,0,1,2,2,3,1.5,0,0,5,15.2,3.0,0.1%
109,Larry Rountree III (LAC) ,36,87,2.4,13,0,1,1,2,-1,-1.0,0,0,10,14.6,1.5,0.7%
110,Alec Ingold (MIA) ,2,1,0.5,1,0,0,10,12,85,8.5,1,0,7,14.6,2.1,0.1%
111,J.J. Taylor (NE) ,19,37,1.9,15,0,2,4,4,8,2.0,0,1,5,14.5,2.9,0.2%
112,Godwin Igwebuike (DET) ,18,118,6.6,42,0,1,7,10,60,8.6,0,2,15,14.0,0.9,0.2%
113,Ty Montgomery (NE) ,15,44,2.9,9,0,0,16,26,95,5.9,0,0,14,13.9,1.0,0.1%
114,Patrick Ricard (BAL) ,2,4,2.0,2,0,0,8,13,63,7.9,1,0,8,12.7,1.6,0.1%
115,Wayne Gallman Jr. (FA) ,28,104,3.7,17,0,0,1,3,21,21.0,0,0,9,12.5,1.4,0.0%
116,Joshua Kelley (LAC) ,33,102,3.1,14,0,0,5,6,38,7.6,0,1,8,12.0,1.5,0.8%
117,Michael Burton (KC) ,8,26,3.3,7,0,1,3,3,31,10.3,0,0,10,11.7,1.2,0.0%
118,Jalen Richard (FA) ,9,40,4.4,23,0,0,12,14,72,6.0,0,0,9,11.2,1.2,0.6%
119,Benny Snell Jr. (PIT) ,36,98,2.7,9,0,0,2,4,13,6.5,0,0,16,11.1,0.7,1.0%
120,Marlon Mack (HOU) ,28,101,3.6,22,0,0,2,5,8,4.0,0,0,6,10.9,1.8,56.0%
121,Ryquell Armstead (JAC) ,15,80,5.3,26,0,0,3,4,16,5.3,0,0,2,9.6,4.8,0.1%
122,Deon Jackson (IND) ,13,31,2.4,10,0,1,0,0,0,0,0,0,5,9.1,1.8,0.1%
123,JaQuan Hardy (FA) ,4,29,7.3,22,0,1,0,0,0,0,0,0,2,8.9,4.5,0.0%
124,Andy Janovich (HOU) ,2,0,0.0,1,0,1,3,4,9,3.0,0,0,6,8.9,1.5,0.0%
125,Keith Smith (ATL) ,9,31,3.4,8,0,0,9,10,56,6.2,0,0,13,8.7,0.7,0.0%
126,Alex Armah Jr. (WAS) ,5,21,4.2,9,0,0,1,1,1,1.0,1,0,10,8.2,0.8,0.0%
127,Johnny Stanton (CLE) ,3,5,1.7,3,0,0,2,2,7,3.5,1,0,3,7.2,2.4,0.0%
128,Jonathan Ward (ARI) ,9,33,3.7,7,0,0,3,4,34,11.3,0,0,9,6.7,0.7,0.1%
129,Ito Smith (FA) ,1,4,4.0,4,0,1,0,0,0,0,0,0,1,6.4,6.4,0.0%
130,Mike Boone (DEN) ,4,35,8.8,16,0,0,2,2,22,11.0,0,0,3,5.7,1.9,0.3%
131,Trayveon Williams (CIN) ,15,51,3.4,10,0,0,1,2,4,4.0,0,0,4,5.5,1.4,0.1%
132,Jason Huntley (PHI) ,13,51,3.9,18,0,0,0,1,0,0,0,0,1,5.1,5.1,0.1%
133,Rodney Smith (FA) ,0,0,0,0,0,0,5,5,48,9.6,0,0,1,4.8,4.8,0.0%
134,Wendell Smallwood (FA) ,5,25,5.0,13,0,0,4,5,22,5.5,0,0,2,4.7,2.4,0.0%
135,Kalen Ballage (FA) ,12,36,3.0,13,0,0,2,7,8,4.0,0,0,9,4.4,0.5,0.0%
136,Jakob Johnson (LV) ,0,0,0,0,0,0,4,5,43,10.8,0,0,7,4.3,0.6,0.1%
137,La'Mical Perine (NYJ) ,8,31,3.9,14,0,0,0,0,0,0,0,0,2,3.1,1.6,0.1%
138,Kylin Hill (GB) ,10,24,2.4,8,0,0,1,2,5,5.0,0,0,8,2.9,0.4,0.7%
139,Dwayne Washington (NO) ,4,16,4.0,5,0,0,2,2,12,6.0,0,0,8,2.8,0.4,0.1%
140,Reggie Gilliam (BUF) ,3,3,1.0,2,0,0,3,5,23,7.7,0,0,8,2.6,0.3,0.0%
141,Gabe Nabers (LAC) ,3,8,2.7,4,0,0,3,3,17,5.7,0,0,7,2.5,0.4,0.0%
142,Jaylen Samuels (FA) ,5,9,1.8,3,0,0,3,4,14,4.7,0,0,3,2.3,0.8,0.0%
143,Scottie Phillips (FA) ,6,13,2.2,4,0,0,2,3,9,4.5,0,0,3,2.2,0.7,0.0%
144,Patrick Laird (FA) ,1,4,4.0,4,0,0,3,3,17,5.7,0,0,3,2.1,0.7,0.0%
145,Adam Prentice (NO) ,3,5,1.7,2,0,0,3,3,16,5.3,0,0,5,2.1,0.4,0.0%
146,Raheem Mostert (MIA) ,2,20,10.0,11,0,0,0,0,0,0,0,0,1,2.0,2.0,46.1%
147,Nick Bawden (NYJ) ,0,0,0,0,0,0,1,1,20,20.0,0,0,1,2.0,2.0,0.0%
148,Darrynton Evans (CHI) ,2,7,3.5,5,0,0,2,2,11,5.5,0,0,2,1.8,0.9,0.7%
149,Derek Watt (PIT) ,1,1,1.0,1,0,0,3,3,15,5.0,0,0,11,1.6,0.1,0.1%
150,Reggie Bonnafon (WAS) ,1,4,4.0,4,0,0,2,2,12,6.0,0,0,1,1.6,1.6,0.0%
151,Trey Ragas (FA) ,1,9,9.0,9,0,0,2,2,6,3.0,0,0,1,1.5,1.5,0.0%
152,Anthony McFarland Jr. (PIT) ,3,3,1.0,3,0,0,1,1,11,11.0,0,0,3,1.4,0.5,0.2%
153,John Kelly (CLE) ,2,13,6.5,11,0,0,0,0,0,0,0,0,1,1.3,1.3,0.0%
154,Cam Akers (LAR) ,5,3,0.6,2,0,0,3,3,10,3.3,0,0,2,1.3,0.7,98.7%
155,Jacques Patrick (FA) ,2,12,6.0,8,0,0,0,0,0,0,0,0,1,1.2,1.2,0.0%
156,Mekhi Sargent (JAC) ,5,11,2.2,3,0,0,0,1,0,0,0,0,5,1.1,0.2,0.0%
157,Buddy Howell (LAR) ,5,11,2.2,4,0,0,0,0,0,0,0,0,5,1.1,0.2,0.0%
158,Gary Brightwell (NYG) ,1,4,4.0,4,0,0,1,1,6,6.0,0,0,7,1.0,0.1,0.3%
159,Ryan Nall (DAL) ,1,4,4.0,4,0,0,1,1,4,4.0,0,0,5,0.8,0.2,0.0%
160,Damarea Crockett (DEN) ,3,7,2.3,6,0,0,0,0,0,0,0,0,1,0.7,0.7,0.1%
161,Jake Funk (LAR) ,2,5,2.5,6,0,0,0,0,0,0,0,0,5,0.5,0.1,0.2%
162,Devine Ozigbo (NO) ,1,-3,-3.0,0,0,0,1,1,7,7.0,0,0,2,0.4,0.2,0.0%
163,Nathan Cottrell (JAC) ,1,3,3.0,3,0,0,0,0,0,0,0,0,3,0.3,0.1,0.0%
164,Raheem Blackshear (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
165,CJ Verdell (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
166,Kennedy Brooks (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
167,Sandro Platzgummer (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
168,Brian Robinson Jr. (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0%
169,Zamir White (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8%
170,Trevon Wesco (NYJ) ,0,0,0,0,0,0,3,5,35,11.7,0,0,8,0.0,0.0,0.0%
171,Mike Weber (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
172,Darwin Thompson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
173,Sutton Smith (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
174,Cullen Gillaspia (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
175,Andrew Beck (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
176,John Lovett (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
177,Elijah Holyfield (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
178,Justice Hill (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
179,Rico Dowdle (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
180,Sewo Olonilua (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
181,Giovanni Ricci (CAR) ,0,0,0,0,0,0,0,2,0,0,0,0,9,0.0,0.0,0.0%
182,Antonio Williams (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
183,Jake Bargas (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
184,Josh Hokit (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
185,Pooka Williams Jr. (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
186,Travis Etienne Jr. (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0%
187,J.K. Dobbins (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,95.5%
188,LeVante Bellamy (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
189,Caleb Huntley (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
190,Artavis Pierce (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
191,Darius Bradwell (CAR) ,0,0,0,0,0,0,0,1,0,0,0,0,2,0.0,0.0,0.0%
192,Ty Chandler (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
193,Darius Anderson (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
194,Ben Mason (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
195,Gerrid Doaks (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
196,Avery Williams (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
197,Spencer Brown (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
198,Tory Carter (TEN) ,0,0,0,0,0,0,0,1,0,0,0,0,5,0.0,0.0,0.0%
199,Sincere McCormick (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
200,Keaontay Ingram (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
201,A.J. Rose Jr. (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
202,Josh Johnson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
203,B.J. Emmons (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
204,Nick Ralston (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
205,Isaiah Spiller (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5%
206,Jerrion Ealy (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
207,Kyren Williams (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
208,Zonovan Knight (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
209,Ricky Person Jr. (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
210,Snoop Conner (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
211,Ken Walker III (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.6%
212,Kevin Harris (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
213,BJ Baylor (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
214,Kevin Marks Jr. (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
215,John Lovett (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
216,Brittain Brown (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
217,Connor Heyward (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
218,ZaQuandre White (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
219,Julius Chestnut (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
220,Tyreik McAllister (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
221,Zonovan Knight (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
222,Aaron Shampklin (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
223,Shermari Jones (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
224,TJ Pledger (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
225,Pierre Strong Jr. (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
226,Tyler Allgeier (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0%
227,Tayon Fleet-Davis (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
228,Trestan Ebner (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
229,Ronnie Rivers (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
230,Malik Davis (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
231,Leddie Brown (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
232,Zander Horvath (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
233,Mataeo Durant (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
234,Jeremiah Hall (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
235,Rachaad White (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0%
236,D'Vonte Price (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
237,Tyler Badie (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
238,Hassan Haskins (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3%
239,Abram Smith (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
240,Greg Bell (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
241,Isaih Pacheco (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
