RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
25,Marquise Brown (ARI) ,91,146,"1,008",11.1,49,0,6,1,5,0,1,16,135.3,8.5,94.40%
26,Amari Cooper (CLE) ,68,104,865,12.7,41,0,8,0,0,0,0,15,134.5,9,95.40%
27,Adam Thielen (MIN) ,67,95,726,10.8,35,0,10,1,2,0,0,13,132.8,10.2,91.20%
28,Christian Kirk (JAC) ,77,103,982,12.8,50,0,5,1,11,0,0,17,130.6,7.7,78.20%
29,Kendrick Bourne (NE) ,55,70,800,14.5,75,0,5,12,125,0,1,17,125.5,7.4,7.10%
30,DeVonta Smith (PHI) ,64,104,916,14.3,46,0,5,0,0,0,1,17,121.6,7.2,90.30%
31,Van Jefferson (LAR) ,50,89,802,16,79,0,6,2,20,0,0,17,118.2,7,21.30%
32,A.J. Brown (PHI) ,63,105,869,13.8,57,0,5,2,10,0,0,13,117.9,9.1,99.20%
33,Tyler Boyd (CIN) ,67,94,828,12.4,68,0,5,2,22,0,0,16,116.8,7.3,55.90%
34,Brandon Aiyuk (SF) ,56,84,826,14.8,43,0,5,5,17,0,1,17,114.3,6.7,86.70%
35,K.J. Osborn (MIN) ,50,82,655,13.1,64,0,7,1,10,0,0,17,108.5,6.4,7.20%
36,Chase Claypool (PIT) ,59,105,860,14.6,59,0,2,14,96,0,0,15,107.6,7.2,84.50%
37,Marvin Jones Jr. (JAC) ,73,120,832,11.4,33,0,4,0,0,0,0,17,107.2,6.3,21.10%
38,Marquez Callaway (NO) ,46,84,698,15.2,58,0,6,0,0,0,0,17,105.8,6.2,2.50%
39,DeAndre Hopkins (ARI) ,42,64,572,13.6,55,0,8,0,0,0,0,10,105.2,10.5,90.60%
40,Tim Patrick (DEN) ,53,85,734,13.8,44,0,5,0,0,0,0,16,103.4,6.5,28.50%
41,Jakobi Meyers (NE) ,83,126,866,10.4,39,0,2,1,9,0,1,16,103.3,6.5,64.50%
42,A.J. Green (ARI) ,54,92,848,15.7,42,0,3,0,0,0,0,16,102.8,6.4,7.00%
43,Cedrick Wilson Jr. (MIA) ,45,61,602,13.4,73,0,6,2,11,0,0,14,102.8,7.3,2.50%
44,Allen Lazard (GB) ,40,60,513,12.8,42,0,8,3,32,0,0,14,102.5,7.3,83.70%
45,Russell Gage (TB) ,66,94,770,11.7,49,0,4,0,0,0,2,13,97,7.5,84.30%
46,Elijah Moore (NYJ) ,43,77,538,12.5,62,0,5,5,54,1,0,11,95.2,8.7,89.90%
47,Robert Woods (TEN) ,45,69,556,12.4,28,0,4,8,46,1,0,9,92.2,10.2,79.10%
48,Courtland Sutton (DEN) ,58,98,776,13.4,55,0,2,0,0,0,0,17,92.2,5.4,93.80%
49,Gabriel Davis (BUF) ,35,63,549,15.7,49,0,6,0,0,0,0,15,90.9,6.1,91.40%
50,Emmanuel Sanders (BUF) ,42,72,626,14.9,41,0,4,2,31,0,0,14,89.7,6.4,1.30%
51,Robbie Anderson (CAR) ,53,110,519,9.8,57,0,5,3,36,0,0,17,85.5,5,18.10%
52,Odell Beckham Jr. (FA) ,44,82,537,12.2,54,0,5,2,14,0,0,14,85.1,6.1,30.70%
53,Byron Pringle (CHI) ,42,60,568,13.5,40,0,5,0,0,0,1,16,84.8,5.3,2.20%
54,Kalif Raymond (DET) ,48,71,576,12,75,0,4,4,28,0,0,16,84.4,5.3,0.70%
55,Mecole Hardman (KC) ,59,83,693,11.7,53,0,2,8,46,0,2,17,81.9,4.8,57.00%
56,Jarvis Landry (NO) ,52,87,570,11,38,0,2,6,40,2,2,12,81,6.8,52.90%
57,Antonio Brown (FA) ,42,62,545,13,62,0,4,1,6,0,0,7,79.1,11.3,1.50%
58,Cole Beasley (FA) ,82,112,693,8.5,29,0,1,0,0,0,0,16,77.3,4.8,1.40%
59,Deonte Harris (NO) ,36,59,570,15.8,72,0,3,5,41,0,1,13,77.1,5.9,1.70%
60,Donovan Peoples-Jones (CLE) ,34,58,597,17.6,60,0,3,0,0,0,1,14,75.7,5.4,4.50%
61,Bryan Edwards (ATL) ,34,59,571,16.8,51,0,3,1,0,0,0,16,75.1,4.7,2.70%
62,Braxton Berrios (NYJ) ,46,65,431,9.4,46,0,2,7,40,2,1,16,75.1,4.7,4.40%
63,Quez Watkins (PHI) ,43,62,647,15,91,0,1,1,3,0,0,17,73,4.3,1.30%
64,Corey Davis (NYJ) ,34,59,492,14.5,53,0,4,0,0,0,1,9,71.2,7.9,23.30%
65,Nick Westbrook-Ikhine (TEN) ,38,57,476,12.5,46,0,4,0,0,0,1,15,69.6,4.6,2.30%
66,Nelson Agholor (NE) ,37,64,473,12.8,44,0,3,3,11,0,0,15,66.4,4.4,1.50%
67,Jalen Guyton (LAC) ,31,48,448,14.5,59,0,3,7,34,0,0,16,66.2,4.1,1.30%
68,Randall Cobb (GB) ,28,39,375,13.4,54,0,5,1,1,0,1,11,65.6,6,4.80%
69,Laviska Shenault Jr. (JAC) ,63,100,619,9.8,58,0,0,11,41,0,1,16,64,4,3.70%
70,DeVante Parker (NE) ,40,73,515,12.9,42,0,2,0,0,0,0,10,63.5,6.4,35.30%
71,DeAndre Carter (LAC) ,24,44,296,12.3,26,0,3,10,89,0,0,17,62.5,3.7,0.60%
72,Freddie Swain (SEA) ,25,40,343,13.7,68,0,4,5,32,0,0,17,61.5,3.6,0.10%
73,Marquez Valdes-Scantling (KC) ,26,55,430,16.5,75,0,3,0,0,0,0,11,61,5.5,57.60%
74,Henry Ruggs III (FA) ,24,36,469,19.5,61,0,2,3,16,0,0,7,60.5,8.6,10.90%
75,Joshua Palmer (LAC) ,33,49,353,10.7,36,0,4,1,6,0,0,15,59.9,4,7.90%
76,Zay Jones (JAC) ,47,70,546,11.6,43,0,1,2,3,0,1,15,58.9,3.9,1.40%
77,Olamide Zaccheaus (ATL) ,31,53,406,13.1,49,0,3,1,2,0,0,15,58.8,3.9,0.80%
78,Jamison Crowder (BUF) ,51,71,447,8.8,29,0,2,0,0,0,1,12,58.7,4.9,19.70%
79,Jauan Jennings (SF) ,24,38,282,11.8,34,0,5,0,0,0,0,13,58.2,4.5,0.90%
80,Rashod Bateman (BAL) ,46,68,515,11.2,36,0,1,0,0,0,0,12,57.5,4.8,90.20%
81,Zach Pascal (PHI) ,38,69,384,10.1,41,0,3,2,21,0,1,16,56.5,3.5,0.80%
82,Michael Gallup (DAL) ,35,62,445,12.7,41,0,2,0,0,0,0,9,56.5,6.3,57.20%
83,DeSean Jackson (FA) ,20,34,454,22.7,75,0,2,1,4,0,1,14,55.8,4,2.60%
84,Tre'Quan Smith (NO) ,32,50,377,11.8,34,0,3,0,0,0,0,10,55.7,5.6,0.80%
85,Rondale Moore (ARI) ,54,64,435,8.1,77,0,1,18,76,0,1,14,55.1,3.9,37.20%
86,Kenny Golladay (NYG) ,37,76,521,14.1,36,0,0,0,0,0,0,14,52.1,3.7,57.00%
87,Jamal Agnew (JAC) ,24,39,229,9.5,29,0,1,7,111,1,0,12,52,4.3,0.60%
88,Josh Reynolds (DET) ,29,49,396,13.7,39,0,2,0,0,0,0,11,51.6,4.7,0.80%
89,T.Y. Hilton (FA) ,23,37,331,14.4,52,0,3,0,0,0,0,10,51.1,5.1,1.30%
90,Keelan Cole Sr. (LV) ,28,51,449,16,54,0,1,0,0,0,0,14,50.9,3.6,0.60%
91,Nico Collins (HOU) ,33,60,446,13.5,32,0,1,0,0,0,0,14,50.6,3.6,5.50%
92,Julio Jones (FA) ,31,48,434,14,51,0,1,0,0,0,0,10,49.4,4.9,12.60%
93,Laquon Treadwell (JAC) ,33,51,434,13.2,41,0,1,0,0,0,0,12,49.4,4.1,0.60%
94,Allen Robinson II (LAR) ,38,66,410,10.8,39,0,1,0,0,0,0,12,49,4.1,92.00%
95,Jerry Jeudy (DEN) ,38,56,467,12.3,40,0,0,2,3,0,0,10,47,4.7,94.10%
96,Mack Hollins (LV) ,14,28,223,15.9,65,0,4,0,0,0,0,16,46.3,2.9,0.10%
97,Jalen Reagor (PHI) ,33,57,299,9.1,34,0,2,10,32,0,0,17,45.1,2.7,1.40%
98,Danny Amendola (FA) ,24,38,248,10.3,39,0,3,0,0,0,0,8,44.8,5.6,0.10%
99,Demarcus Robinson (LV) ,25,41,264,10.6,33,0,3,0,0,0,0,15,44.4,3,0.80%
100,Devin Duvernay (BAL) ,33,47,272,8.2,21,0,2,7,50,0,0,16,44.2,2.8,4.80%
101,Sammy Watkins (GB) ,27,49,394,14.6,49,0,1,0,0,0,1,11,43.4,3.9,7.10%
102,Kadarius Toney (NYG) ,39,57,420,10.8,38,0,0,3,6,0,0,9,43.4,4.8,70.50%
103,Darius Slayton (NYG) ,26,58,339,13,42,0,2,1,-13,0,1,13,42.6,3.3,1.50%
104,Chris Conley (HOU) ,22,37,323,14.7,41,0,2,1,3,0,1,14,42.6,3,0.40%
105,James Washington (DAL) ,24,44,285,11.9,42,0,2,2,13,0,0,15,41.8,2.8,2.70%
106,Sterling Shepard (NYG) ,36,53,366,10.2,37,0,1,1,-9,0,0,7,41.7,6,4.40%
107,Calvin Ridley (ATL) ,31,52,281,9.1,22,0,2,0,0,0,0,5,40.1,8,3.40%
108,Damiere Byrd (ATL) ,26,38,329,12.7,54,0,1,0,0,0,1,11,38.9,3.5,0.10%
109,Antoine Wesley (ARI) ,19,32,208,10.9,33,0,3,0,0,0,0,8,38.8,4.9,0.10%
110,Adam Humphries (FA) ,41,62,383,9.3,27,0,0,0,0,0,0,17,38.3,2.3,0.60%
111,Marquise Goodwin (SEA) ,20,40,313,15.7,50,0,1,2,-1,0,0,14,37.2,2.7,0.10%
112,Lil'Jordan Humphrey (NE) ,13,18,249,19.2,56,0,2,0,0,0,0,8,36.9,4.6,0.00%
113,Tyler Johnson (TB) ,36,55,360,10,31,0,0,0,0,0,0,16,36,2.3,0.70%
114,Chester Rogers (FA) ,30,43,301,10,39,0,1,1,9,0,1,16,35,2.2,1.00%
115,Chris Moore (HOU) ,21,22,227,10.8,67,0,2,0,0,0,0,10,34.7,3.5,0.00%
116,Cyril Grayson Jr. (TB) ,10,12,212,21.2,62,0,2,1,14,0,0,5,34.6,6.92,0.10%
117,Quintez Cephus (DET) ,15,22,204,13.6,46,0,2,0,0,0,0,5,34.4,6.9,0.70%
118,Cam Sims (WAS) ,15,23,211,14.1,43,0,2,1,7,0,0,12,33.8,2.8,0.10%
119,Rashard Higgins (CAR) ,24,47,275,11.5,21,0,1,0,0,0,0,12,33.5,2.8,0.60%
120,Malik Turner (SF) ,12,16,149,12.4,61,0,3,0,0,0,0,7,32.9,4.7,0.00%
121,Isaiah McKenzie (BUF) ,20,26,178,8.9,28,0,1,9,47,1,1,15,32.5,2.2,2.40%
122,Ashton Dulin (IND) ,13,22,173,13.3,62,0,2,3,32,0,0,16,32.5,2,0.10%
123,Brandon Zylstra (CAR) ,18,25,250,13.9,55,0,1,0,0,0,0,12,31,2.6,0.10%
124,John Ross (FA) ,11,20,224,20.4,51,0,1,1,16,0,0,9,30,3.3,0.00%
125,Jakeem Grant Sr. (CLE) ,11,17,132,12,46,0,2,5,33,0,3,15,28.5,1.9,0.60%
126,Isaiah Ford (FA) ,12,16,161,13.4,52,0,2,0,0,0,0,9,28.1,3.1,0.00%
127,Greg Ward (PHI) ,7,11,95,13.6,27,0,3,0,0,0,0,10,27.6,2.8,0.10%
128,DJ Chark Jr. (DET) ,7,22,154,22,41,0,2,0,0,0,0,3,27.4,9.1,27.30%
129,Tavon Austin (BUF) ,24,38,213,8.9,25,0,1,3,21,0,1,12,27.4,2.3,0.10%
130,Ray-Ray McCloud (SF) ,39,66,277,7.1,24,0,0,2,15,0,1,16,27.2,1.7,0.60%
131,Ihmir Smith-Marsette (MIN) ,5,6,116,23.2,44,0,2,0,0,0,0,6,23.6,3.9,0.20%
132,Kendall Hinton (DEN) ,15,23,175,11.7,40,0,1,0,0,0,0,11,23.5,2.1,0.10%
133,Anthony Schwartz (CLE) ,10,23,135,13.5,44,0,1,6,39,0,0,13,23.4,1.8,1.00%
134,Albert Wilson (MIN) ,25,39,213,8.5,64,0,0,4,17,0,0,10,23,2.3,0.00%
135,Tajae Sharpe (CHI) ,25,37,230,9.2,17,0,0,0,0,0,0,14,23,1.6,0.10%
136,Breshad Perriman (TB) ,11,18,167,15.2,58,0,1,1,-3,0,0,5,22.4,4.5,0.20%
137,Parris Campbell (IND) ,10,20,162,16.2,51,0,1,0,0,0,0,6,22.2,3.7,4.30%
138,James Proche II (BAL) ,16,20,202,12.6,32,0,0,0,0,0,0,7,20.2,2.9,0.70%
139,JuJu Smith-Schuster (KC) ,15,28,129,8.6,24,0,0,3,9,1,0,5,19.8,4,92.90%
140,Noah Brown (DAL) ,16,25,184,11.5,27,0,0,0,0,0,0,10,18.4,1.8,0.20%
141,Dee Eskridge (SEA) ,10,20,64,6.4,17,0,1,4,59,0,0,8,18.3,2.3,1.10%
142,Mohamed Sanu Sr. (FA) ,15,24,177,11.8,21,0,0,0,0,0,0,8,17.7,2.2,0.00%
143,KhaDarel Hodge (ATL) ,13,27,157,12.1,42,0,0,0,0,0,0,12,17.7,1.5,0.10%
144,Jody Fortson (KC) ,5,5,47,9.4,27,0,2,0,0,0,0,4,16.7,4.2,0.10%
145,N'Keal Harry (CHI) ,12,22,184,15.3,43,0,0,0,0,0,1,10,16.4,1.6,0.80%
146,Kristian Wilkerson (NE) ,4,8,42,10.5,20,0,2,0,0,0,0,3,16.2,5.4,0.00%
147,Dyami Brown (WAS) ,12,25,165,13.8,48,0,0,1,-4,0,0,10,16.1,1.6,0.80%
148,Terrace Marshall Jr. (CAR) ,17,30,138,8.1,23,0,0,0,0,0,0,12,15.8,1.3,3.30%
149,Marcus Johnson (SF) ,9,19,160,17.8,50,0,0,2,-2,0,0,7,15.8,2.3,0.00%
150,Dante Pettis (CHI) ,10,16,87,8.7,27,0,1,0,0,0,0,3,15.3,5.1,0.10%
151,Trent Sherfield (MIA) ,9,20,87,9.7,18,0,1,0,0,0,0,12,14.7,1.2,0.10%
152,Scotty Miller (TB) ,5,9,38,7.6,13,0,0,2,43,1,0,6,14.1,2.4,0.20%
153,Denzel Mims (NYJ) ,8,23,133,16.6,40,0,0,0,0,0,0,10,13.3,1.3,0.70%
154,Ben Skowronek (LAR) ,11,20,133,12.1,35,0,0,0,0,0,0,12,13.3,1.1,0.10%
155,Kenny Stills (FA) ,6,23,68,11.3,22,0,1,1,1,0,0,7,12.9,1.8,0.00%
156,Tom Kennedy (DET) ,6,10,54,9,15,0,0,0,0,0,0,7,12.4,1.8,0.00%
157,Equanimeous St. Brown (CHI) ,9,17,98,10.9,26,0,0,3,14,0,0,12,11.2,0.9,0.20%
158,Jeff Smith (NYJ) ,8,17,113,14.1,35,0,0,1,-1,0,0,9,11.2,1.2,0.00%
159,Phillip Dorsett II (HOU) ,7,14,110,15.7,36,0,0,1,0,0,0,5,11,2.2,0.10%
160,Dez Fitzpatrick (TEN) ,5,8,49,9.8,18,0,1,0,0,0,0,3,10.9,3.6,0.10%
161,Collin Johnson (NYG) ,11,21,105,9.5,16,0,0,0,0,0,0,8,10.5,1.3,0.10%
162,Trinity Benson (DET) ,10,22,103,10.3,24,0,0,0,0,0,0,7,10.3,1.5,0.00%
163,Shi Smith (CAR) ,6,11,104,17.3,63,0,0,1,-3,0,0,5,10.1,2,0.10%
164,Chris Hogan (FA) ,4,8,41,10.3,16,0,1,0,0,0,0,5,10.1,2,0.00%
165,Auden Tate (ATL) ,3,4,39,13,18,0,1,0,0,0,0,4,9.9,2.5,0.20%
166,Josh Gordon (KC) ,5,14,32,6.4,11,0,1,0,0,0,0,9,9.2,1,0.80%
167,Cameron Batson (ATL) ,2,5,15,7.5,13,0,1,2,15,0,0,4,9,2.3,0.00%
168,Anthony Miller (PIT) ,6,12,25,4.2,10,0,1,0,0,0,0,3,8.5,2.8,0.10%
169,Dezmon Patmon (IND) ,2,4,21,10.5,14,0,1,0,0,0,0,4,8.1,2,0.00%
170,Preston Williams (MIA) ,6,16,71,11.8,34,0,0,1,7,0,0,6,7.8,1.3,0.10%
171,KJ Hamler (DEN) ,5,10,74,14.8,28,0,0,0,0,0,0,3,7.4,2.5,2.10%
172,Andre Roberts (CAR) ,1,2,35,35,35,0,0,3,19,0,2,16,7.4,0.5,0.10%
173,Dede Westbrook (FA) ,10,15,68,6.8,17,0,0,0,0,0,0,15,6.8,0.5,0.00%
174,Ja'Marcus Bradley (CLE) ,4,4,64,16,37,0,0,0,0,0,0,4,6.4,1.6,0.00%
175,Dax Milne (WAS) ,9,14,83,9.2,22,0,0,1,1,0,1,9,6.4,0.7,0.00%
176,Brandon Powell (LAR) ,0,0,0,0,0,0,0,0,0,0,0,6,6,1,0.10%
177,Penny Hart (SEA) ,7,12,59,8.4,16,0,0,0,0,0,0,12,5.9,0.5,0.00%
178,C.J. Board (NYG) ,4,6,51,12.8,38,0,0,1,6,0,0,6,5.7,1,0.00%
179,Amari Rodgers (GB) ,4,8,45,11.3,19,0,0,1,11,0,0,16,5.6,0.4,2.60%
180,Jason Moore Jr. (LAC) ,3,4,56,18.7,24,0,0,0,0,0,0,1,5.6,5.6,0.10%
181,Alex Erickson (WAS) ,3,4,55,18.3,25,0,0,0,0,0,0,17,5.5,0.3,0.00%
182,Jaelon Darden (TB) ,6,12,43,7.2,29,0,0,1,11,0,0,9,5.4,0.6,0.20%
183,Mike Thomas (CIN) ,5,11,52,10.4,19,0,0,0,0,0,0,7,5.2,0.7,0.10%
184,William Fuller V (FA) ,4,8,26,6.5,10,0,0,0,0,0,0,2,4.6,2.3,3.80%
185,Trent Taylor (CIN) ,2,3,41,20.5,26,0,0,0,0,0,0,4,4.1,1,0.10%
186,Gunner Olszewski (PIT) ,2,3,31,15.5,22,0,0,1,9,0,0,16,4,0.3,0.10%
187,Greg Dortch (ARI) ,3,3,15,5,10,0,0,1,24,0,0,5,3.9,0.8,0.00%
188,Juwann Winfree (GB) ,8,13,58,7.3,12,0,0,0,0,0,1,5,3.8,0.8,0.10%
189,Kevin White (NO) ,1,5,38,38,38,0,0,0,0,0,0,4,3.8,1,0.00%
190,Willie Snead IV (FA) ,4,8,38,9.5,15,0,0,0,0,0,0,7,3.8,0.5,0.00%
191,Curtis Samuel (WAS) ,6,9,27,4.5,10,0,0,4,11,0,0,5,3.8,0.8,6.70%
192,J.J. Arcega-Whiteside (PHI) ,2,5,36,18,23,0,0,0,0,0,0,7,3.6,0.5,0.10%
193,Pharoh Cooper (FA) ,4,11,33,8.3,15,0,0,1,3,0,0,8,3.6,0.5,0.00%
194,D.J. Montgomery (NYJ) ,3,6,36,12,14,0,0,0,0,0,0,2,3.6,1.8,0.00%
195,Trenton Irwin (CIN) ,2,5,34,17,25,0,0,0,0,0,0,5,3.4,0.7,0.00%
196,Seth Williams (DEN) ,1,1,34,34,34,0,0,0,0,0,0,1,3.4,3.4,0.10%
197,Cody Hollister (TEN) ,4,7,33,8.3,14,0,0,0,0,0,0,3,3.3,1.1,0.00%
198,Cody White (PIT) ,5,6,33,6.6,11,0,0,0,0,0,0,6,3.3,0.6,0.00%
199,KJ Hill Jr. (FA) ,3,3,30,10,19,0,0,0,0,0,0,6,3,0.5,0.00%
200,Jake Kumerow (FA) ,2,6,28,14,15,0,0,0,0,0,0,7,2.8,0.4,0.10%
201,Mike Strachan (IND) ,2,3,26,13,16,0,0,0,0,0,0,2,2.6,1.3,0.10%
202,Christian Blake (ARI) ,4,10,25,6.3,8,0,0,0,0,0,0,10,2.5,0.3,0.00%
203,Marcus Kemp (FA) ,2,5,24,12,16,0,0,0,0,0,0,12,2.4,0.2,0.00%
204,Tylan Wallace (BAL) ,2,6,23,11.5,18,0,0,0,0,0,0,10,2.3,0.2,0.70%
205,Dazz Newsome (CHI) ,2,5,23,11.5,13,0,0,0,0,0,0,3,2.3,0.8,0.10%
206,Davion Davis (HOU) ,1,3,17,17,17,0,0,0,0,0,0,2,1.7,0.9,0.00%
207,Keith Kirkwood (CAR) ,3,7,17,5.7,7,0,0,0,0,0,0,3,1.7,0.6,0.00%
208,David Sills V (NYG) ,2,6,17,8.5,12,0,0,0,0,0,0,4,1.7,0.4,0.00%
209,Tyron Johnson (LV) ,2,5,16,8,10,0,0,0,0,0,0,7,1.6,0.2,0.10%
210,Tyrell Williams (FA) ,2,3,14,7,7,0,0,0,0,0,0,1,1.4,1.4,0.10%
211,Frank Darby (ATL) ,1,4,14,14,14,0,0,0,0,0,0,4,1.4,0.4,0.00%
212,Stanley Morgan Jr. (CIN) ,2,4,11,5.5,8,0,0,1,3,0,0,11,1.4,0.1,0.10%
213,Andy Isabella (ARI) ,1,1,13,13,13,0,0,0,0,0,0,3,1.3,0.4,0.10%
214,Kirk Merritt (NO) ,1,3,13,13,13,0,0,0,0,0,0,1,1.3,1.3,0.00%
215,C.J. Saunders (CAR) ,2,2,11,5.5,8,0,0,0,0,0,0,1,1.1,1.1,0.00%
216,Marvin Hall (JAC) ,1,1,10,10,10,0,0,0,0,0,0,1,1,1,0.00%
217,Tarik Black (NYJ) ,1,2,10,10,10,0,0,0,0,0,0,1,1,1,0.00%
218,Jaydon Mickens (FA) ,2,3,10,5,12,0,0,0,0,0,0,12,1,0.1,0.00%
219,Tommylee Lewis (MIA) ,1,2,7,7,7,0,0,0,0,0,0,2,0.7,0.4,0.00%
220,Miles Boykin (PIT) ,1,1,6,6,6,0,0,0,0,0,0,2,0.6,0.3,0.20%
221,Easop Winston Jr. (NO) ,1,1,5,5,5,0,0,0,0,0,0,3,0.5,0.2,0.00%
222,Keke Coutee (IND) ,1,1,5,5,5,0,0,0,0,0,0,1,0.5,0.5,0.10%
223,Maurice Ffrench (LAC) ,0,0,0,0,0,0,0,1,3,0,0,2,0.3,0.2,0.00%
224,Willie Johnson (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
225,Jaylon Moore (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
226,Scotty Washington (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
227,Malcolm Perry (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
228,Isaiah Coulter (CHI) ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
229,Justyn Ross (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40%
230,Aaron Parker (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
231,Andre Baccellia (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
232,Jeff Cotton (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
233,Dan Chisena (MIN) ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
234,Chris Finke (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
235,T.J. Vasher (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
236,Reggie Roberson Jr. (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
237,Tutu Atwell (LAR) ,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.90%
238,Marquez Stevenson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.10%
239,Pooka Williams Jr. (CIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
240,Chris Olave (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.40%
241,Josh Hammond (PHI) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
242,Rysen John (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
243,Juwan Green (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
244,DeMichael Harris (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
245,Matt Cole (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
246,Mason Kinsey (TEN) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
247,Deontez Alexander (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
248,Chad Beebe (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
249,Kelvin Harmon (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
250,Vyncint Smith (TB) ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
251,Justin Watson (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
252,Damion Ratley (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
253,Austin Proehl (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
254,Rico Gafford (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
