RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
1,Cooper Kupp (LAR) ,145,191,"1,947",13.4,59,0,16,4,18,0,0,17,294.5,17.3,100.00%
2,Deebo Samuel (SF) ,77,121,"1,405",18.2,83,0,6,59,365,8,2,16,262,16.4,99.90%
3,Ja'Marr Chase (CIN) ,81,128,"1,455",18,82,0,13,7,21,0,1,17,223.6,13.2,99.90%
4,Justin Jefferson (MIN) ,108,167,"1,616",15,56,0,10,6,14,0,1,17,222.4,13.1,99.90%
5,Davante Adams (LV) ,123,169,"1,553",12.6,59,0,11,0,0,0,0,16,221.3,13.8,99.90%
6,Mike Evans (TB) ,74,114,"1,035",14,46,0,14,1,10,0,0,16,188.5,11.8,99.80%
7,Tyreek Hill (MIA) ,111,159,"1,239",11.2,75,0,9,9,96,0,1,17,185.5,10.9,99.90%
8,Stefon Diggs (BUF) ,103,164,"1,225",11.9,61,0,10,0,0,0,0,17,182.5,10.7,99.90%
9,Mike Williams (LAC) ,76,129,"1,146",15.1,72,0,9,0,0,0,0,16,170.6,10.7,96.10%
10,DK Metcalf (SEA) ,75,129,967,12.9,84,0,12,1,6,0,0,17,169.3,10,97.30%
11,Tyler Lockett (SEA) ,73,107,"1,175",16.1,69,0,8,2,9,0,0,16,168.4,10.5,91.10%
12,Diontae Johnson (PIT) ,107,169,"1,161",10.9,50,0,8,5,53,0,2,16,167.4,10.5,97.80%
13,Hunter Renfrow (LV) ,103,128,"1,038",10.1,54,0,9,3,3,0,1,17,156.1,9.2,92.10%
14,CeeDee Lamb (DAL) ,79,120,"1,102",13.9,49,0,6,9,76,0,0,16,153.8,9.6,99.80%
15,Keenan Allen (LAC) ,106,157,"1,138",10.7,42,0,6,0,0,0,0,16,151.8,9.5,99.80%
16,Michael Pittman Jr. (IND) ,88,129,"1,082",12.3,57,0,6,5,44,0,0,17,150.6,8.9,98.40%
17,Tee Higgins (CIN) ,74,110,"1,091",14.7,54,0,6,0,0,0,1,14,145.1,10.4,98.90%
18,DJ Moore (CAR) ,93,163,"1,157",12.4,64,0,4,8,48,0,1,17,144.5,8.5,97.80%
19,Chris Godwin (TB) ,98,127,"1,103",11.3,44,0,5,4,21,1,2,14,144.4,10.3,93.40%
20,Jaylen Waddle (MIA) ,104,140,"1,015",9.8,57,0,6,2,3,1,1,16,141.8,8.9,99.10%
21,Brandin Cooks (HOU) ,90,134,"1,037",11.5,52,0,6,2,21,0,0,16,141.8,8.9,94.10%
22,Darnell Mooney (CHI) ,81,140,"1,055",13,64,0,4,6,32,1,0,17,138.7,8.2,91.90%
23,Amon-Ra St. Brown (DET) ,90,119,912,10.1,37,0,5,7,61,1,0,16,137.3,8.6,94.60%
24,Terry McLaurin (WAS) ,77,130,"1,053",13.7,46,0,5,1,12,0,0,17,136.5,8,98.10%
