RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
292,Nick Westbrook-Ikhine (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
293,Devin Duvernay (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.10%
294,Jerry Jeudy (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,85.30%
295,Brandon Aiyuk (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,90.90%
296,Justin Jefferson (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,99.80%
297,DeVonta Smith (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,80.70%
298,Laviska Shenault Jr. (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,73.50%
299,Jalen Reagor (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,54.10%
300,Tee Higgins (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,90.30%
301,Henry Ruggs III (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,56.00%
302,CeeDee Lamb (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,96.10%
303,Travis Fulgham (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.60%
304,Steven Mitchell Jr. (HOU) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
305,Steven Dunbar Jr. (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
306,Devin Gray (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
307,Christian Blake (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
308,Byron Pringle (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.70%
309,Rico Gafford (ARI) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
310,Janarion Grant (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
311,Caleb Scott (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
312,Devin Ross (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
313,Cam Sims (WAS) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.70%
314,De'Mornay Pierson-El (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
315,Saeed Blacknall (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
316,Rashard Davis (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
317,Fred Brown (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
318,Lance Lenoir Jr. (BUF) ,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.00%
319,Greg Ward (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.40%
320,Da'Mari Scott (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00%
321,Chris Lacy (CHI) ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
322,Jeff Badet (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
323,Dylan Cantrell (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
324,Austin Proehl (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
325,Daurice Fountain (KC) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
326,Quadree Henderson (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.00%
327,Jaleel Scott (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
328,Braxton Berrios (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.20%
329,Jester Weah (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
330,Deon Cain (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
331,Cedrick Wilson (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.20%
332,Jakobi Meyers (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,7.00%
333,Bryan Edwards (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,4.30%
334,Tyler Johnson (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.50%
335,Chase Claypool (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,91.90%
336,Stanley Morgan Jr. (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
337,KeeSean Johnson (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
338,Diontae Johnson (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,94.90%
339,Preston Williams (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,3.30%
340,Antoine Wesley (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
341,Lil'Jordan Humphrey (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
342,Ashton Dulin (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
343,Mecole Hardman (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,48.90%
344,Greg Dortch (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
345,David Sills V (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
346,Gary Jennings Jr. (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
347,Keelan Doss (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
348,Cody Thompson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
349,Jon'Vea Johnson (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
350,Miles Boykin (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.30%
351,Trinity Benson (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
352,Tyron Johnson (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.20%
353,Jeff Smith (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
354,Penny Hart (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
355,Michael Walker (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
356,Stephen Carlson (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
357,Trenton Irwin (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
358,John Ursua (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
359,Scotty Miller (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.20%
360,Olabisi Johnson (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
361,Darius Slayton (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,13.60%
362,Quinton Bell (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
363,Juwann Winfree (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
364,Ishmael Hyman (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
365,DeAndre Thompkins (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
366,Shaq Roland (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
367,Anthony Johnson (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
368,Deebo Samuel (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,89.00%
369,J.J. Arcega-Whiteside (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.60%
370,Hakeem Butler (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
371,Kelvin Harmon (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
372,Marquise Brown (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,76.20%
373,N'Keal Harry (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,3.30%
374,D.K. Metcalf (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,99.90%
375,A.J. Brown (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,99.80%
376,Collin Johnson (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.80%
377,Riley Ridley (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
378,Terry McLaurin (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,99.00%
379,Johnnie Dixon (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
380,Parris Campbell (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,20.20%
381,Emanuel Hall (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
382,Andy Isabella (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.20%
383,Terry Godwin (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
384,Alexander Hollins (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
385,Hunter Renfrow (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,4.60%
386,A.J. Richardson (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
387,Jalen Hurd (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.80%
388,Shawn Poindexter (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
389,Chris Rowland (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
390,Anthony Schwartz (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.50%
391,Dax Milne (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
392,Austin Watkins Jr. (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
393,Jaelon Darden (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.80%
394,D'Wayne Eskridge (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,3.10%
395,Marlon Williams (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
396,Trevon Grimes (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
397,Chris Blair (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
398,Cornell Powell (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.50%
399,Cade Johnson (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
400,Jonathan Adams Jr. (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
401,Damon Hazelton (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
402,Frank Darby (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.20%
403,Warren Jackson (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
404,Josh Palmer (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.60%
405,Ben Skowronek (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
406,Antonio Nunn (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
407,Jacob Harris (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.20%
408,Terrace Marshall Jr. (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,11.40%
409,Darece Roberson Jr. (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
410,Mathew Sexton (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
411,Micah Simon (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
412,Simi Fehoko (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.30%
413,Kai Locksley (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
414,Racey McMath (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
415,Austin Trammell (ATL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
416,Jalen Camp (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
417,T.J. Simmons (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
418,Travis Toivonen (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
419,C.J. Saunders (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
420,Khalil McClain (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
421,Donte Sylencieux (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
422,Branden Mack (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
423,DeVontres Dukes (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
424,Tim Jones (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
425,Dillon Stoner (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
426,DJ Turner (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
427,Riley Lees (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
428,Connor Wedington (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
429,Tre Nixon (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
430,Jhamon Ausbon (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
431,Mike Strachan (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
432,Landen Akers (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
433,Blake Proehl (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
434,Myron Mitchell (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
435,Jeremiah Haydel (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
436,Brandon Smith (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
437,Rico Bussey (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
438,Bailey Gaither (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
439,Isaiah McKoy (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
440,Javon McKinley (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
441,Osirus Mitchell (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
442,Kawaan Baker (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
443,Jeff Cotton (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
444,Elijah Moore (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,20.50%
445,Dyami Brown (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.90%
446,Dez Fitzpatrick (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,1.50%
447,Whop Philyor (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
448,Demetric Felton (CLE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
449,Dan Chisena (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
450,Andre Baccellia (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
451,Maurice Ffrench (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
452,Dalton Schoen (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
453,T.J. Vasher (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
454,J.J. Koski (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
455,Siaosi Mariner (LV) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
456,Josh Hammond (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
457,Matt Cole (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
458,JoJo Ward (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
459,Ihmir Smith-Marsette (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
460,Seth Williams (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
461,Brennan Eagles (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
462,Marquez Stevenson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
463,Kadarius Toney (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,21.30%
464,Amari Rodgers (GB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,4.40%
465,Nico Collins (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,3.90%
466,Eli Stove (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
467,Josh Imatorbhebhe (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
468,Shi Smith (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.60%
469,Tutu Atwell (LAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.70%
470,Cyril Grayson Jr. (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
471,Dazz Newsome (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
472,Tamorrion Terry (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
473,Sage Surratt (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
474,Patrick Edwards (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
475,Michael Calvin (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
476,Eron Riley (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
477,Andy Fantuz (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
478,Taj Smith (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
479,Scotty McKnight (NYJ) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
480,Demario Ballard (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
481,Marqise Lee (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
482,Markus Wheaton (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
483,Lance Long (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
484,Kenny McKinley (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
485,Juaquin Iglesias (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
486,John Standeford (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
487,Brandon Tate (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
488,Brandon London (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
489,Bobby Wade (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
490,Austin Collie (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
491,Chris Henry (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
492,Joe Webb III (NYG) ,2,3,13,6.5,7,0,0,0,0,0,0,16,0,0,1,0.06,0.00%
493,Dez Bryant (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,2.60%
494,Tyler Grisham (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
495,Todd Watkins (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
496,Jeremy Williams (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
497,Onrea Jones (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
498,Patrick Williams (SEA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
499,Dominique Edison (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
500,Mike Wallace (FA) ,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
501,Mike Furrey (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
502,Maurice Purify (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
503,Matthew Slater (NE) ,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.10%
504,Marko Mitchell (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
505,Nate Hughes (JAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
506,Sam Giguere (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
507,Rod Harper (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
508,Mike Thomas (CIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.10%
509,Trevor Davis (WAS) ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
510,Mose Frazier (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
511,Jaydon Mickens (TB) ,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.00%
512,Kalif Raymond (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
513,Johnny Holton (NYG) ,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
514,Alonzo Russell (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
515,Keenan Reynolds (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
516,Pharoh Cooper (JAC) ,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0.00%
517,Taquan Mizzell (NYG) ,8,10,78,9.8,26,1,1,9,16,0,0,9,0,0,4,0.44,0.00%
518,C.J. Board (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
519,Andre Patton (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
520,Tanner Gentry (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
521,Deante Burton (DAL) ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.00%
522,Reggie Davis (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
523,Isaac Whitney (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
524,Jamal Agnew (JAC) ,0,0,0,0,0,0,0,1,17,0,0,6,0,0,0,0,0.10%
525,Tanner McEvoy (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.00%
526,Duke Williams (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
527,Jake Lampman (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
