RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
112,Isaiah McKenzie (BUF) ,18,30,179,9.9,23,1,0,10,66,2,1,8,34.5,4.3,43.5,5.44,0.30%
113,Ryan Switzer (CLE) ,36,44,253,7,24,1,1,6,21,0,0,16,33.4,2.1,51.4,3.21,0.00%
114,Equanimeous St. Brown (GB) ,21,36,328,15.6,54,5,0,1,5,0,0,12,33.3,2.8,43.8,3.65,0.20%
115,Torrey Smith (FA) ,17,30,190,11.2,35,2,2,0,0,0,0,11,33,3,41.5,3.77,0.00%
116,Keith Kirkwood (CAR) ,13,21,209,16.1,42,4,2,0,0,0,0,8,32.9,4.1,39.4,4.93,0.00%
117,Tavon Austin (GB) ,8,13,140,17.5,64,2,2,6,55,0,0,7,31.5,4.5,35.5,5.07,0.00%
118,Maurice Harris (FA) ,28,47,304,10.9,42,3,0,2,10,0,0,12,31.4,2.6,45.4,3.78,0.00%
119,TJ Jones (FA) ,19,26,190,10,26,3,2,0,0,0,0,15,31,2.1,40.5,2.7,0.00%
120,Russell Shepard (FA) ,10,19,188,18.8,49,4,2,0,0,0,0,12,30.8,2.6,35.8,2.98,0.00%
121,Trent Taylor (CIN) ,26,40,215,8.3,23,1,1,0,0,0,0,14,29.5,2.1,42.5,3.04,0.10%
122,Travis Benjamin (SF) ,12,24,186,15.5,46,4,1,7,41,0,0,12,28.7,2.4,34.7,2.89,0.10%
123,Bruce Ellington (FA) ,31,42,224,7.2,23,2,1,1,2,0,0,7,28.6,4.1,44.1,6.3,0.00%
124,James Washington (PIT) ,16,38,217,13.6,47,3,1,0,0,0,0,14,27.7,2,35.7,2.55,2.80%
125,Chris Moore (HOU) ,19,25,196,10.3,30,3,1,5,17,0,0,16,27.3,1.7,36.8,2.3,0.00%
126,Trent Sherfield (SF) ,19,28,210,11.1,21,1,1,0,0,0,0,13,27,2.1,36.5,2.81,0.00%
127,Martavis Bryant (FA) ,19,27,266,14,47,6,0,3,23,0,1,8,26.9,3.4,36.4,4.55,0.00%
128,Bennie Fowler III (SF) ,16,27,199,12.4,26,3,1,0,0,0,0,10,25.9,2.6,33.9,3.39,0.00%
