RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
21,Jesse James (FA) ,30,39,423,14.1,51,8,2,0,0,0,0,16,54.3,3.4,0.0%
22,Gerald Everett (LAC) ,33,50,320,9.7,40,4,3,2,16,0,0,16,53.6,3.4,21.0%
23,Greg Olsen (FA) ,27,38,291,10.8,23,2,4,0,0,0,0,9,53.1,5.9,7.0%
24,Benjamin Watson (FA) ,35,46,400,11.4,32,6,2,0,0,0,0,16,52.0,3.3,2.8%
25,Vernon Davis (FA) ,25,36,367,14.7,53,8,2,0,0,0,0,14,50.7,3.6,1.6%
26,Blake Jarwin (FA) ,27,36,307,11.4,39,3,3,0,0,0,0,16,48.7,3.0,2.1%
27,Antonio Gates (FA) ,28,45,333,11.9,27,5,2,0,0,0,1,16,47.3,3.0,0.2%
28,Ian Thomas (CAR) ,36,49,333,9.3,31,4,2,0,0,0,0,16,45.3,2.8,0.2%
29,Nick Vannett (NO) ,29,43,269,9.3,32,1,3,0,0,0,0,15,44.9,3.0,0.1%
30,Jonnu Smith (NE) ,20,30,258,12.9,61,3,3,0,0,0,0,13,43.8,3.4,2.7%
31,Jordan Thomas (FA) ,20,27,215,10.8,39,2,4,0,0,0,0,16,42.8,2.7,0.0%
32,Tyler Higbee (LAR) ,24,33,292,12.2,36,3,2,0,0,0,0,16,41.2,2.6,40.4%
33,Ricky Seals-Jones (NYG) ,34,70,343,10.1,40,5,1,0,0,0,0,15,40.3,2.7,0.7%
34,Jeff Heuerman (FA) ,31,48,281,9.1,36,2,2,0,0,0,0,11,40.1,3.6,0.0%
35,Rhett Ellison (FA) ,25,35,272,10.9,29,2,1,0,0,0,0,14,35.2,2.5,0.0%
36,Jack Doyle (FA) ,26,33,245,9.4,20,1,2,0,0,0,1,6,34.5,5.8,1.1%
37,Demetrius Harris (FA) ,12,25,164,13.7,35,2,3,0,0,0,0,15,34.4,2.3,0.0%
38,Ed Dickson (FA) ,12,13,143,11.9,42,2,3,1,9,0,0,10,33.2,3.3,0.0%
39,Levine Toilolo (FA) ,21,24,263,12.5,39,2,1,0,0,0,0,16,32.3,2.0,0.0%
40,Matt LaCosse (FA) ,24,37,250,10.4,44,1,1,0,0,0,0,15,31.0,2.1,0.0%
41,Ryan Griffin (CHI) ,24,43,305,12.7,47,3,0,0,0,0,0,14,30.5,2.2,0.1%
42,Geoff Swaim (TEN) ,26,32,242,9.3,43,3,1,0,0,0,0,9,30.2,3.4,0.1%
43,Darren Fells (FA) ,11,12,117,10.6,49,1,3,0,0,0,0,16,29.7,1.9,0.0%
44,Luke Stocker (FA) ,15,21,165,11.0,31,2,2,1,0,0,0,16,28.5,1.8,0.0%
45,Michael Roberts (FA) ,9,20,100,11.1,29,1,3,0,0,0,0,8,28.0,3.5,0.0%
46,Jason Croom (FA) ,22,35,259,11.8,26,5,1,0,0,0,2,15,27.9,1.9,0.0%
47,Will Dissly (SEA) ,8,14,156,19.5,66,3,2,0,0,0,0,4,27.6,6.9,0.3%
48,Virgil Green (FA) ,19,27,210,11.1,26,5,1,0,0,0,0,16,27.0,1.7,0.0%
49,Erik Swoope (FA) ,8,10,87,10.9,26,1,3,0,0,0,0,7,26.7,3.8,0.0%
50,Lee Smith (FA) ,10,11,73,7.3,30,1,3,0,0,0,0,16,25.3,1.6,0.0%
51,Mo Alie-Cox (IND) ,7,14,133,19.0,34,4,2,0,0,0,0,9,25.3,2.8,3.4%
52,Josh Hill (FA) ,16,24,185,11.6,23,4,1,0,0,0,0,16,24.5,1.5,0.0%
53,Tyler Eifert (FA) ,15,19,179,11.9,29,2,1,0,0,0,0,4,23.9,6.0,0.0%
54,Lance Kendricks (FA) ,19,26,170,8.9,22,2,1,0,0,0,0,16,23.0,1.4,0.0%
55,Jordan Akins (NYG) ,17,25,225,13.2,28,3,0,0,0,0,0,16,22.5,1.4,0.2%
56,Hayden Hurst (CIN) ,13,23,163,12.5,32,3,1,1,0,0,0,12,22.3,1.9,11.5%
57,James O'Shaughnessy (CHI) ,24,38,214,8.9,17,0,0,0,0,0,0,14,21.4,1.5,0.2%
58,Nick Boyle (BAL) ,23,37,213,9.3,25,1,0,0,0,0,0,16,21.3,1.3,0.1%
59,Maxx Williams (ARI) ,16,17,143,8.9,25,3,1,3,8,0,0,13,21.1,1.6,0.1%
60,Garrett Celek (FA) ,5,8,90,18.0,41,2,2,0,0,0,0,15,21.0,1.4,0.0%
61,Mike Gesicki (MIA) ,22,32,202,9.2,27,1,0,0,0,0,1,16,18.2,1.1,89.3%
62,Jordan Leggett (FA) ,14,25,114,8.1,16,0,1,0,0,0,0,15,17.4,1.2,0.0%
63,Charles Clay (FA) ,21,36,184,8.8,21,2,0,0,0,0,1,13,16.4,1.3,0.0%
64,MyCole Pruitt (FA) ,9,11,102,11.3,27,1,1,0,0,0,0,15,16.2,1.1,0.0%
65,Logan Paulsen (FA) ,9,9,91,10.1,19,0,1,0,0,0,0,15,15.1,1.0,0.0%
66,Austin Seferian-Jenkins (FA) ,11,19,90,8.2,21,1,1,0,0,0,0,5,15.0,3.0,0.0%
67,Nick O'Leary (FA) ,8,10,86,10.8,19,0,1,0,0,0,0,12,14.6,1.2,0.0%
68,Scott Simonson (FA) ,9,14,86,9.6,24,1,1,0,0,0,0,16,14.6,0.9,0.0%
69,Robert Tonyan (GB) ,4,6,77,19.3,54,1,1,0,0,0,0,16,13.7,0.9,32.5%
70,Seth DeValve (FA) ,5,7,74,14.8,26,2,1,0,0,0,0,13,13.4,1.0,0.0%
71,Adam Shaheen (MIA) ,5,6,48,9.6,23,1,1,0,0,0,0,6,12.8,2.1,0.0%
72,Derek Carrier (FA) ,7,12,67,9.6,23,1,1,0,0,0,0,16,12.7,0.8,0.0%
73,Dalton Schultz (DAL) ,12,17,116,9.7,17,0,0,0,0,0,0,11,11.6,1.1,96.6%
74,Chris Manhertz (JAC) ,2,5,52,26.0,50,1,1,0,0,0,0,16,11.2,0.7,0.0%
75,A.J. Derby (FA) ,3,5,48,16.0,19,0,1,0,0,0,0,4,10.8,2.7,0.0%
76,Jeremy Sprinkle (DAL) ,5,9,41,8.2,15,0,1,0,0,0,0,16,10.1,0.6,0.1%
77,Darren Waller (LV) ,6,6,75,12.5,44,1,0,1,21,0,0,4,9.6,2.4,99.0%
78,Niles Paul (FA) ,10,13,98,9.8,22,1,0,1,-3,0,0,6,9.5,1.6,0.0%
79,Luke Willson (FA) ,13,19,87,6.7,13,0,0,0,0,0,0,14,8.7,0.6,0.0%
80,Jake Butt (FA) ,8,13,85,10.6,22,2,0,0,0,0,0,3,8.5,2.8,0.1%
81,Logan Thomas (WAS) ,12,17,77,6.4,24,1,0,0,0,0,0,12,8.3,0.7,33.1%
82,Matt Lengel (FA) ,3,8,17,5.7,9,0,1,0,0,0,0,11,7.7,0.7,0.0%
83,Jermaine Gresham (FA) ,9,12,94,10.4,26,1,0,0,0,0,1,13,7.4,0.6,0.0%
84,Eric Tomlinson (DEN) ,8,14,72,9.0,24,1,0,0,0,0,0,15,7.2,0.5,0.0%
85,Blake Bell (KC) ,8,11,67,8.4,16,0,0,0,0,0,0,10,6.7,0.7,0.1%
86,Joshua Perkins (FA) ,5,11,67,13.4,30,1,0,0,0,0,0,9,6.7,0.7,0.0%
87,Xavier Grimble (FA) ,6,8,86,14.3,23,2,0,0,0,0,1,16,6.6,0.4,0.0%
88,David Grinnage (FA) ,6,8,61,10.2,24,1,0,0,0,0,0,4,6.1,1.5,0.0%
89,Jacob Hollister (LV) ,4,5,52,13.0,23,1,0,0,0,0,0,8,5.2,0.7,0.0%
90,Delanie Walker (FA) ,4,7,52,13.0,16,0,0,0,0,0,0,1,5.2,5.2,0.1%
91,Anthony Firkser (ATL) ,19,20,225,11.8,28,3,1,0,0,0,0,12,5.1,0.4,0.6%
92,Durham Smythe (MIA) ,6,11,50,8.3,21,1,0,0,0,0,0,15,5.0,0.3,0.1%
93,Eric Saubert (DEN) ,5,9,48,9.6,17,0,0,0,0,0,0,16,4.8,0.3,0.0%
94,Antony Auclair (HOU) ,7,8,48,6.9,12,0,0,0,0,0,0,16,4.8,0.3,0.0%
95,Neal Sterling (FA) ,6,8,47,7.8,12,0,0,0,0,0,0,5,4.7,0.9,0.0%
96,Rico Gathers (FA) ,3,7,45,15.0,32,1,0,0,0,0,0,15,4.5,0.3,0.0%
97,Ben Braunecker (FA) ,3,5,42,14.0,20,1,0,0,0,0,0,15,4.2,0.3,0.0%
98,Marcedes Lewis (GB) ,3,4,39,13.0,30,1,0,0,0,0,0,16,3.9,0.2,0.1%
99,John Phillips (FA) ,3,3,38,12.7,24,1,0,0,0,0,0,8,3.8,0.5,0.0%
100,Jordan Franks (KC) ,2,3,37,18.5,32,1,0,0,0,0,0,6,3.7,0.6,0.0%
101,David Morgan II (FA) ,5,6,36,7.2,13,0,0,0,0,0,0,11,3.6,0.3,0.0%
102,Tyler Kroft (SF) ,4,6,36,9.0,16,0,0,0,0,0,0,5,3.6,0.7,0.0%
103,Brian Parker (FA) ,5,10,33,6.6,11,0,0,0,0,0,0,13,3.3,0.3,0.0%
104,Dwayne Allen (FA) ,3,4,27,9.0,21,1,0,0,0,0,0,13,2.7,0.2,0.0%
105,Sean Culkin (FA) ,1,1,24,24.0,24,1,0,0,0,0,0,13,2.4,0.2,0.0%
106,Tyrone Swoopes (FA) ,1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,0.0%
107,Orson Charles (FA) ,3,5,23,7.7,9,0,0,0,0,0,0,13,2.3,0.2,0.0%
108,Dan Arnold (JAC) ,12,19,150,12.5,25,4,1,0,0,0,0,10,2.0,0.2,1.4%
109,Ross Dwelley (SF) ,2,2,14,7.0,8,0,0,0,0,0,0,11,1.4,0.1,0.1%
110,Matt Flanagan (FA) ,1,2,14,14.0,14,0,0,0,0,0,0,3,1.4,0.5,0.0%
111,Hakeem Valles (FA) ,2,3,11,5.5,6,0,0,0,0,0,0,3,1.1,0.4,0.0%
112,Dion Sims (FA) ,2,4,9,4.5,9,0,0,0,0,0,0,8,0.9,0.1,0.0%
113,Alan Cross (FA) ,2,5,9,4.5,6,0,0,0,0,0,0,14,0.9,0.1,0.0%
114,Richard Rodgers (PHI) ,1,1,7,7.0,7,0,0,0,0,0,0,7,0.7,0.1,0.0%
115,Khari Lee (FA) ,1,1,5,5.0,5,0,0,0,0,0,0,2,0.5,0.3,0.0%
116,Johnny Mundt (MIN) ,1,1,5,5.0,5,0,0,0,0,0,0,10,0.5,0.1,0.1%
117,Garrett Dickerson (FA) ,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
118,Deon Yelder (ARI) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
119,Jordan Matthews (SF) ,20,28,300,15.0,56,3,2,0,0,0,0,14,0.0,0.0,0.0%
120,Kelvin Benjamin (FA) ,25,67,380,15.2,40,5,1,0,0,0,0,15,0.0,0.0,0.1%
121,Clark Harris (CIN) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
122,Cole Wick (FA) ,0,1,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
123,Mitchell Loewen (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
124,Mason Schreck (HOU) ,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
125,Darrell Daniels (FA) ,0,2,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
126,Temarrick Hemingway (FA) ,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
127,Alex Ellis (ARI) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
128,Zach Wood (NO) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
129,James Looney (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
130,Tyler Conklin (NYJ) ,5,7,77,15.4,33,2,0,0,0,0,0,16,0.0,0.0,1.9%
131,Donnie Ernsberger (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
132,Taysom Hill (NO) ,3,7,4,1.3,5,0,0,37,196,2,1,16,0.0,0.0,2.3%
133,Shane Smith (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
134,Kyle Nelson (FA) ,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%
135,Ryan Hewitt (FA) ,1,2,1,1.0,1,0,1,0,0,0,0,12,0.0,0.0,0.0%
136,Jerome Cunningham (FA) ,0,1,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
137,Jeff Driskel (HOU) ,0,0,0,0,0,0,0,25,130,2,1,9,0.0,0.0,0.0%
138,Daniel Brown (FA) ,0,0,0,0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
139,Beau Brinkley (ATL) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
140,James Winchester (KC) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
141,Tyler Ott (SEA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
142,Patrick Scales (CHI) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
143,Kevin McDermott (FA) ,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
144,Andrew DePaola (MIN) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
145,Bronson Kaufusi (FA) ,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
146,Devin Funchess (DET) ,44,79,549,12.5,27,8,4,0,0,0,0,14,0.0,0.0,0.0%
147,Clive Walford (FA) ,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
148,Ben Koyack (FA) ,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
149,Jake Fisher (FA) ,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
150,Gabe Holmes (FA) ,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
