RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
1,Travis Kelce (KC) ,103,150,"1,336",13.0,43,18,10,0,0,0,1,16,191.6,12.0,99.9%
2,George Kittle (SF) ,88,135,"1,377",15.6,85,20,5,1,10,0,0,16,170.7,10.7,98.6%
3,Zach Ertz (ARI) ,116,156,"1,163",10.0,34,13,8,0,0,0,0,16,164.3,10.3,92.1%
4,Eric Ebron (FA) ,66,110,750,11.4,53,7,13,3,-8,1,1,16,156.2,9.8,0.6%
5,Jared Cook (FA) ,68,101,896,13.2,45,15,6,0,0,0,0,16,125.6,7.9,1.2%
6,Trey Burton (FA) ,54,76,569,10.5,47,7,6,1,2,0,1,16,93.1,5.8,0.0%
7,Austin Hooper (TEN) ,71,88,660,9.3,36,7,4,0,0,0,0,16,92.0,5.8,13.2%
8,David Njoku (CLE) ,56,88,639,11.4,66,9,4,0,0,0,0,16,87.9,5.5,50.3%
9,Kyle Rudolph (FA) ,64,82,634,9.9,44,6,4,0,0,0,0,16,87.4,5.5,0.1%
10,O.J. Howard (BUF) ,34,48,565,16.6,75,11,5,0,0,0,0,10,86.5,8.7,2.5%
11,Rob Gronkowski (FA) ,47,72,682,14.5,42,8,3,0,0,0,1,13,84.2,6.5,49.4%
12,Vance McDonald (FA) ,50,72,610,12.2,75,6,4,0,0,0,1,15,83.0,5.5,0.0%
13,Evan Engram (JAC) ,45,64,577,12.8,54,8,3,3,36,0,0,11,81.3,7.4,17.6%
14,Jimmy Graham (FA) ,55,90,636,11.6,54,7,2,0,0,0,0,16,75.6,4.7,0.1%
15,Chris Herndon IV (FA) ,39,56,502,12.9,32,9,4,0,0,0,0,16,74.2,4.6,0.0%
16,Mark Andrews (BAL) ,34,50,552,16.2,74,8,3,0,0,0,0,16,73.2,4.6,99.9%
17,Jordan Reed (FA) ,54,84,558,10.3,34,7,2,0,0,0,1,13,65.8,5.1,19.0%
18,Cameron Brate (TB) ,30,49,289,9.6,21,2,6,0,0,0,1,16,62.9,3.9,6.6%
19,C.J. Uzomah (NYJ) ,43,66,439,10.2,29,6,3,0,0,0,0,16,61.9,3.9,3.9%
20,Dallas Goedert (PHI) ,33,42,334,10.1,32,5,4,0,0,0,0,16,57.4,3.6,93.9%
