RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
113,Patrick Laird (MIA) ,13,72,5.5,17,0,0,10,12,68,6.8,0,1,16,12,0.8,17,1.06,0.10%
111,Ryan Nall (CHI) ,3,0,0,0,0,0,8,9,67,8.4,1,0,15,12.7,0.8,16.7,1.11,0.10%
103,D'Onta Foreman (TEN) ,22,95,4.3,15,0,0,1,1,5,5,1,0,6,16,2.7,16.5,2.75,0.10%
114,Troymaine Pope (TB) ,15,76,5.1,26,0,0,8,10,42,5.3,0,0,6,11.8,2,15.8,2.63,0.00%
104,T.J. Yeldon (BUF) ,10,70,7,34,0,0,1,4,22,22,1,0,3,15.2,5.1,15.7,5.23,0.10%
106,Reggie Bonnafon (CAR) ,12,69,5.8,22,0,0,2,2,18,9,1,0,2,14.7,7.4,15.7,7.85,0.10%
107,Darrynton Evans (TEN) ,14,54,3.9,9,0,0,2,4,27,13.5,1,0,5,14.1,2.8,15.1,3.02,4.80%
112,DeAndre Washington (MIA) ,31,91,2.9,16,0,0,5,10,30,6,0,0,4,12.1,3,14.6,3.65,5.60%
115,Tarik Cohen (CHI) ,14,74,5.3,17,0,0,6,9,41,6.8,0,0,3,11.5,3.8,14.5,4.83,42.80%
110,Ty Montgomery (NO) ,19,101,5.3,36,0,0,3,6,27,9,0,0,6,12.8,2.1,14.3,2.38,0.40%
109,Mike Boone (DEN) ,11,59,5.4,19,0,1,2,2,10,5,0,0,16,12.9,0.8,13.9,0.87,1.40%
117,Jakob Johnson (NE) ,0,0,0,0,0,0,8,9,35,4.4,1,0,16,9.5,0.6,13.5,0.84,0.00%
122,Patrick Ricard (BAL) ,1,-1,-1,0,0,0,9,12,45,5,1,1,15,8,0.5,12.5,0.83,0.10%
118,Saquon Barkley (NYG) ,19,34,1.8,18,0,0,6,9,60,10,0,0,2,9.4,4.7,12.4,6.2,99.90%
129,Keith Smith (ATL) ,4,7,1.8,3,0,0,11,15,59,5.4,0,0,16,6.6,0.4,12.1,0.76,0.00%
116,J.J. Taylor (NE) ,23,110,4.8,28,0,0,1,2,4,4,0,0,6,11.4,1.9,11.9,1.98,0.30%
125,Jaylen Samuels (PIT) ,9,28,3.1,6,0,0,9,14,46,5.1,0,0,14,7.4,0.5,11.9,0.85,0.80%
120,Tevin Coleman (NYJ) ,28,53,1.9,12,0,0,4,5,34,8.5,0,0,8,8.7,1.1,10.7,1.34,15.60%
121,Justice Hill (BAL) ,12,60,5,19,0,0,5,5,20,4,0,0,12,8,0.7,10.5,0.88,0.90%
