RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,FPTS/PPR,FPTS/G-PPR,OWN
231,Carl Tucker (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
232,Nick Ralston (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
233,A.J. Rose (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
234,JaQuan Hardy (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
235,Darius Clark (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
236,Tory Carter (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
237,Brenden Knox (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
238,Kenneth Gainwell (PHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,8.60%
239,Ben Mason (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
240,Gary Brightwell (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.10%
241,Gerrid Doaks (MIA) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.80%
242,Mason Stokke (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
243,Spencer Brown (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
244,Kene Nwangwu (MIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.70%
245,Andre Anderson (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
246,Shane Bannon (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
247,Jay Finley (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
249,Taiwan Jones (BUF) ,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0.10%
250,Javarris James (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
251,Xavier Omon (SF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
252,Garrett Mills (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
253,Brandon Bolden (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
254,Rodney Stewart (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
255,Jamize Olawale (DAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
256,Chad Spann (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
258,Isaac Odim (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
259,Javarris Williams (HOU) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
260,Dantrell Savage (CAR) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
261,Anthony Alridge (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
262,Chad Simpson (WAS) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
263,Samkon Gado (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
264,Mike Bell (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
265,Korey Hall (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
266,Kenny Irons (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
267,Marcus Mason (LAC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
268,Matt Lawrence (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
269,Marcus Mailei (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
270,Madison Hedgecock (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
271,Paul Perkins (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
272,Danny Vitale (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
273,Darius Jackson (IND) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
274,Derek Watt (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0.20%
275,Wendell Smallwood (PIT) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
276,Rod Smith (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
277,Taquan Mizzell (NYG) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
278,Khalfani Muhammad (ARI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
280,J.P. Holtz (CHI) ,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0.00%
281,T.J. Logan (TB) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
282,Elijah McGuire (KC) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
283,Brandin Bryant (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00%
285,Carlin Isles (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
286,Willie Carter (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
287,Tyler Gaffney (NE) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
288,Damien Williams (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,4.90%
289,Spencer Ware (CHI) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
290,Tommy Bohanon (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
291,Kenjon Barner (TB) ,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0.00%
292,Tim Flanders (NO) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
293,Brennan Clay (DEN) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
294,Nate McCrary (BAL) ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.00%
295,Adrian Killins Jr. (PHI) ,1,-12,-12,0,0,0,1,1,2,2,0,0,1,-1,-1,-0.5,-0.5,0.00%
