RANK,PLAYER,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,OWN
139,Jordan Scarlett (FA) ,4,9,2.3,6,0,0,0,0,0,0,0,0,9,0.9,0.1,0.0%
140,Josh Ferguson (FA) ,3,9,3.0,7,0,0,0,0,0,0,0,0,2,0.9,0.5,0.0%
141,John Kelly (CLE) ,3,9,3.0,6,0,0,0,0,0,0,0,0,5,0.9,0.2,0.0%
142,Ryan Nall (DAL) ,2,8,4.0,7,0,0,0,0,0,0,0,0,8,0.8,0.1,0.0%
143,Ricky Ortiz (FA) ,0,0,0,0,0,0,1,1,8,8.0,0,0,2,0.8,0.4,0.0%
144,Tony Brooks-James (FA) ,8,7,0.9,8,0,0,0,0,0,0,0,0,3,0.7,0.2,0.0%
145,De'Lance Turner (FA) ,4,6,1.5,5,0,0,0,0,0,0,0,0,9,0.6,0.1,0.1%
146,Jakob Johnson (LV) ,0,0,0,0,0,0,1,2,5,5.0,0,0,4,0.5,0.1,0.1%
147,Roosevelt Nix (FA) ,0,0,0,0,0,0,2,3,4,2.0,0,0,3,0.4,0.1,0.0%
148,Senorise Perry (FA) ,3,3,1.0,6,0,0,1,1,1,1.0,0,0,11,0.4,0.0,0.0%
149,Alfred Morris (FA) ,1,4,4.0,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%
150,James Develin (FA) ,2,3,1.5,2,0,0,0,0,0,0,0,0,2,0.3,0.2,0.0%
151,Austin Walter (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
152,Andrew Beck (DEN) ,1,3,3.0,3,0,0,9,12,90,10.0,1,0,16,0.0,0.0,0.0%
153,Craig Reynolds (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.8%
154,Chandler Cox (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
155,Cullen Gillaspia (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
156,Trayveon Williams (CIN) ,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.1%
157,Trevon Wesco (NYJ) ,1,2,2.0,2,0,0,2,3,47,23.5,0,0,16,0.0,0.0,0.0%
158,Stevan Ridley (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
159,DuJuan Harris (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
160,Nick Bellore (SEA) ,0,0,0,0,0,0,2,2,23,11.5,1,0,14,0.0,0.0,0.0%
161,Chris Ivory (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
162,LeGarrette Blount (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
163,Jamize Olawale (FA) ,0,0,0,0,0,0,0,2,0,0,0,0,16,0.0,0.0,0.0%
164,Travaris Cadet (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
165,Cordarrelle Patterson (ATL) ,17,103,6.1,46,1,0,11,17,83,7.5,0,0,16,0.0,0.0,91.5%
166,Lamar Miller (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
167,Robert Turbin (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
168,Jamaal Charles (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
169,Jonathan Stewart (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
170,J.P. Holtz (NO) ,0,0,0,0,0,0,7,8,91,13.0,0,0,15,0.0,0.0,0.0%
171,Jeremy McNichols (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
172,Joe Williams (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
173,Tre Madden (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
174,Brandin Bryant (BUF) ,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
175,D.J. Foster (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
176,Kenneth Dixon (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
177,Alex Collins (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,9.6%
178,Detrez Newsome (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
179,Trenton Cannon (TEN) ,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.1%
180,Jason Cabinda (DET) ,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
181,Jordan Chunn (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
182,Lavon Coleman (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
183,Donnie Ernsberger (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
184,Justin Davis (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
185,Patrick Ricard (BAL) ,0,0,0,0,0,0,8,11,47,5.9,1,0,16,0.0,0.0,0.1%
186,Rod Smith (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
187,David Fluellen (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
188,Christine Michael (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
189,Mike Gillislee (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
190,Jeremy Hill (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
191,Derrick Coleman (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
192,Jeremy Langford (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
193,Cameron Artis-Payne (FA) ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
194,Michael Burton (KC) ,0,0,0,0,0,0,0,1,0,0,0,0,11,0.0,0.0,0.0%
195,Corey Clement (FA) ,0,0,0,0,0,0,0,0,0,0,0,2,4,-4.0,-1.0,1.0%
